PROCESSDATA	2111FIC45102C Data	yyyy-MM-dd HH:mm:ss
8	10	2024-11-16 21:55:00	751
tagname	2111FIC45102C.MV	2111FIC45102C.PV	2111FIC45102C.SV	2111FIC45102C.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	一段减底油至F402C路_OP	一段减底油至F402C路_PV	一段减底油至F402C路_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=2.246958374292454	fsMin=0	fsGridNum=10	fdMax=2.246958374292454tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-11-16 21:55:00	58.852263736	46.335286776	47	1	0	0	0	0
2024-11-16 21:55:10	58.59158427846154	47.28429463692308	47	1	0	0	0	0
2024-11-16 21:55:20	58.40673787727273	47.46820364090909	47	1	0	0	0	0
2024-11-16 21:55:30	58.990012032	46.040976728000004	47	1	0	0	0	0
2024-11-16 21:55:40	58.601303271999996	47.3763572	47	1	0	0	0	0
2024-11-16 21:55:50	58.5195024	47.301085807999996	47	1	0	0	0	0
2024-11-16 21:56:00	58.67896868	46.817938544	47	1	0	0	0	0
2024-11-16 21:56:10	58.782516792452824	46.852702452830194	47	1	0	0	0	0
2024-11-16 21:56:20	58.552245176470585	47.41334417843137	47	1	0	0	0	0
2024-11-16 21:56:30	58.661550896	46.85895816	47	1	0	0	0	0
2024-11-16 21:56:40	59.098976288	46.072979576	47	1	0	0	0	0
2024-11-16 21:56:50	58.330008400000004	48.219091464	47	1	0	0	0	0
2024-11-16 21:57:00	59.010332831999996	46.08424118	47	1	0	0	0	0
2024-11-16 21:57:10	58.63328695873016	47.425644444444444	47	1	0	0	0	0
2024-11-16 21:57:20	58.492074148837204	47.18196904883721	47	1	0	0	0	0
2024-11-16 21:57:30	58.913578332	46.210242032000004	47	1	0	0	0	0
2024-11-16 21:57:40	58.230885004	48.15150208	47	1	0	0	0	0
2024-11-16 21:57:50	58.502451912000005	46.918561844	47	1	0	0	0	0
2024-11-16 21:58:00	58.8858564	46.131342335999996	47	1	0	0	0	0
2024-11-16 21:58:10	58.34345597014925	47.70047157313433	47	1	0	0	0	0
2024-11-16 21:58:20	58.80871926595744	46.17172628510639	47	1	0	0	0	0
2024-11-16 21:58:30	58.92276232727273	46.38194090909091	47	1	0	0	0	0
2024-11-16 21:58:40	58.3025732	47.77377132	47	1	0	0	0	0
2024-11-16 21:58:50	58.811935184	46.34474	47	1	0	0	0	0
2024-11-16 21:59:00	58.444355752	47.590853112	47	1	0	0	0	0
