PROCESSDATA	2411LIC10503 Data	yyyy-MM-dd HH:mm:ss
8	10	2024-12-07 21:55:00	751
tagname	2411LIC10503.MV	2411LIC10503.PV	2411LIC10503.SV	2411LIC10503.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	外取热汽包D118B_OP	外取热汽包D118B_PV	外取热汽包D118B_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=14.233212032	fsMin=0	fsGridNum=10	fdMax=14.233212032tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-12-07 21:55:00	67.6986440295	45.621232361	50.03767	1	0	0	0	0
2024-12-07 21:55:10	62.7034006795	47.273433061	50.03767	1	0	0	0	0
2024-12-07 21:55:20	58.1258764295	48.821117276	50.03767	1	0	0	0	0
2024-12-07 21:55:30	54.9468030795	50.018898476000004	50.03767	1	0	0	0	0
2024-12-07 21:55:40	52.276335296	50.9275167645	50.03767	1	0	0	0	0
2024-12-07 21:55:50	51.308590496	50.8680679145	50.03767	1	0	0	0	0
2024-12-07 21:56:00	50.602490544999995	50.8566402355	50.03767	1	0	0	0	0
2024-12-07 21:56:10	50.772332045	51.0059790855	50.03767	1	0	0	0	0
2024-12-07 21:56:20	50.53607255	51.204866179999996	50.03767	1	0	0	0	0
2024-12-07 21:56:30	48.94025755	51.56963218	50.03767	1	0	0	0	0
2024-12-07 21:56:40	47.744641814000005	51.7347764075	50.03767	1	0	0	0	0
2024-12-07 21:56:50	47.888823614	51.2316216575	50.03767	1	0	0	0	0
2024-12-07 21:57:00	49.3314736225	50.4770597035	50.03767	1	0	0	0	0
2024-12-07 21:57:10	55.1211693725	48.8808301535	50.03767	1	0	0	0	0
2024-12-07 21:57:20	59.649331210999996	47.6705417995	50.03767	1	0	0	0	0
2024-12-07 21:57:30	59.954096911	47.7523174495	50.03767	1	0	0	0	0
2024-12-07 21:57:40	60.0194987705	47.8765969155	50.03767	1	0	0	0	0
2024-12-07 21:57:50	59.2835521205	48.1431717655	50.03767	1	0	0	0	0
2024-12-07 21:58:00	58.517557132	48.412165744	50.03767	1	0	0	0	0
2024-12-07 21:58:10	57.650965532	48.689258544	50.03767	1	0	0	0	0
2024-12-07 21:58:20	56.909121251500004	48.94037657	50.03767	1	0	0	0	0
2024-12-07 21:58:30	56.5849093015	49.10453557	50.03767	1	0	0	0	0
2024-12-07 21:58:40	56.207083466	49.31714108	50.03767	1	0	0	0	0
2024-12-07 21:58:50	55.649767666	49.69193708	50.03767	1	0	0	0	0
2024-12-07 21:59:00	55.182471957000004	49.951410597	50.03767	1	0	0	0	0
2024-12-07 21:59:10	55.016547857	49.824804497	50.03767	1	0	0	0	0
2024-12-07 21:59:20	54.79219067	49.840464253	50.03767	1	0	0	0	0
2024-12-07 21:59:30	54.37220967	50.332405353	50.03767	1	0	0	0	0
2024-12-07 21:59:40	52.8734306555	51.03951465	50.03767	1	0	0	0	0
2024-12-07 21:59:50	47.7630235055	52.46696965	50.03767	1	0	0	0	0
2024-12-07 22:00:00	43.594818152	53.5208721165	50.03767	1	0	0	0	0
2024-12-07 22:00:10	42.580940552	53.3241856665	50.03767	1	0	0	0	0
2024-12-07 22:00:20	42.649601997	52.948472978	50.03767	1	0	0	0	0
2024-12-07 22:00:30	46.342415896999995	51.973411578	50.03767	1	0	0	0	0
2024-12-07 22:00:40	49.398975921	51.196103373	50.03767	1	0	0	0	0
2024-12-07 22:00:50	50.325468621	51.080838473	50.03767	1	0	0	0	0
2024-12-07 22:01:00	50.80086883	51.0417543225	50.03767	1	0	0	0	0
2024-12-07 22:01:10	49.76608983	51.257710072500004	50.03767	1	0	0	0	0
2024-12-07 22:01:20	48.6170967055	51.53348681	50.03767	1	0	0	0	0
2024-12-07 22:01:30	47.085734555500004	52.00953381	50.03767	1	0	0	0	0
2024-12-07 22:01:40	45.2907195185	52.53518215	50.03767	1	0	0	0	0
2024-12-07 22:01:50	42.613040468499996	53.22688715	50.03767	1	0	0	0	0
2024-12-07 22:02:00	40.8064707095	53.617248450000005	50.03767	1	0	0	0	0
2024-12-07 22:02:10	41.916223359499995	52.998763450000006	50.03767	1	0	0	0	0
2024-12-07 22:02:20	42.9769919665	52.497050830000006	50.03767	1	0	0	0	0
2024-12-07 22:02:30	43.8737705165	52.386271830000005	50.03767	1	0	0	0	0
2024-12-07 22:02:40	43.2339948055	52.78186727	50.03767	1	0	0	0	0
2024-12-07 22:02:50	37.450102655500004	54.87271627	50.03767	1	0	0	0	0
2024-12-07 22:03:00	32.6388692355	56.50437855	50.03767	1	0	0	0	0
2024-12-07 22:03:10	31.083928085500002	56.59876355	50.03767	1	0	0	0	0
2024-12-07 22:03:20	29.9642509415	56.5800187375	50.03767	1	0	0	0	0
2024-12-07 22:03:30	30.3017619915	56.1825349875	50.03767	1	0	0	0	0
2024-12-07 22:03:40	30.5802668175	55.9185185125	50.03767	1	0	0	0	0
2024-12-07 22:03:50	30.6612290675	56.1013272625	50.03767	1	0	0	0	0
2024-12-07 22:04:00	30.470230128999997	56.281106475499996	50.03767	1	0	0	0	0
2024-12-07 22:04:10	29.368752428999997	56.4507433255	50.03767	1	0	0	0	0
2024-12-07 22:04:20	28.420741952999997	56.575849358	50.03767	1	0	0	0	0
2024-12-07 22:04:30	27.986513053	56.551873958	50.03767	1	0	0	0	0
2024-12-07 22:04:40	27.5366391505	56.5304444165	50.03767	1	0	0	0	0
2024-12-07 22:04:50	27.0343885005	56.5175379665	50.03767	1	0	0	0	0
2024-12-07 22:05:00	27.4775040675	56.173088	50.03767	1	0	0	0	0
2024-12-07 22:05:10	31.0855413175	54.718688	50.03767	1	0	0	0	0
2024-12-07 22:05:20	34.5013544	53.361587568	50.03767	1	0	0	0	0
2024-12-07 22:05:30	37.2736344	52.330229168	50.03767	1	0	0	0	0
2024-12-07 22:05:40	38.592321967000004	51.845516391000004	50.03767	1	0	0	0	0
2024-12-07 22:05:50	35.044634867	53.190878091	50.03767	1	0	0	0	0
2024-12-07 22:06:00	32.628434503499996	54.169792291	50.03767	1	0	0	0	0
2024-12-07 22:06:10	34.000254953500004	53.921903991	50.03767	1	0	0	0	0
2024-12-07 22:06:20	35.7847037295	53.399706949999995	50.03767	1	0	0	0	0
2024-12-07 22:06:30	38.9505603795	51.95917195	50.03767	1	0	0	0	0
2024-12-07 22:06:40	41.38827	50.84996	50.03767	1	0	0	0	0
2024-12-07 22:06:50	41.38827	50.84996	50.03767	1	0	0	0	0
2024-12-07 22:07:00	47.157271615	49.238374867000005	50.03767	1	0	0	0	0
2024-12-07 22:07:10	47.898862115	48.935917767	50.03767	1	0	0	0	0
2024-12-07 22:07:20	48.139034996999996	48.8876411075	50.03767	1	0	0	0	0
2024-12-07 22:07:30	46.700548897	49.6903163575	50.03767	1	0	0	0	0
2024-12-07 22:07:40	45.795300271	50.165705046	50.03767	1	0	0	0	0
2024-12-07 22:07:50	46.675237971	49.545395246	50.03767	1	0	0	0	0
2024-12-07 22:08:00	47.6464425	48.99841469	50.03767	1	0	0	0	0
2024-12-07 22:08:10	48.9231925	48.69692769	50.03767	1	0	0	0	0
2024-12-07 22:08:20	49.863816682	48.459282848	50.03767	1	0	0	0	0
2024-12-07 22:08:30	49.679150082	48.435370448	50.03767	1	0	0	0	0
2024-12-07 22:08:40	49.712137818	48.3789379915	50.03767	1	0	0	0	0
2024-12-07 22:08:50	50.473794418000004	48.2136340415	50.03767	1	0	0	0	0
2024-12-07 22:09:00	50.8838117	48.158758600000006	50.03767	1	0	0	0	0
2024-12-07 22:09:10	50.1166017	48.4735786	50.03767	1	0	0	0	0
2024-12-07 22:09:20	49.500068426	48.8095694215	50.03767	1	0	0	0	0
2024-12-07 22:09:30	49.387974625999995	49.2164364715	50.03767	1	0	0	0	0
2024-12-07 22:09:40	49.312009824	49.4392074045	50.03767	1	0	0	0	0
2024-12-07 22:09:50	49.356998624	49.0456565545	50.03767	1	0	0	0	0
2024-12-07 22:10:00	49.4691017	48.746984074000004	50.03767	1	0	0	0	0
2024-12-07 22:10:10	49.8058917	48.765947874	50.03767	1	0	0	0	0
2024-12-07 22:10:20	50.180821449999996	48.71995535	50.03767	1	0	0	0	0
2024-12-07 22:10:30	50.68343645	48.45650035	50.03767	1	0	0	0	0
2024-12-07 22:10:40	51.140989850000004	48.2360730025	50.03767	1	0	0	0	0
2024-12-07 22:10:50	51.44768485	48.1596947525	50.03767	1	0	0	0	0
2024-12-07 22:11:00	51.824555149999995	48.0818785655	50.03767	1	0	0	0	0
2024-12-07 22:11:10	52.43636015	47.9992484155	50.03767	1	0	0	0	0
2024-12-07 22:11:20	52.964659337499995	47.947933582000005	50.03767	1	0	0	0	0
2024-12-07 22:11:30	53.213395587499996	48.001456982	50.03767	1	0	0	0	0
2024-12-07 22:11:40	53.4773595625	47.9920444125	50.03767	1	0	0	0	0
2024-12-07 22:11:50	53.792303312499996	47.7719331625	50.03767	1	0	0	0	0
2024-12-07 22:12:00	53.683187426	47.7310695375	50.03767	1	0	0	0	0
2024-12-07 22:12:10	52.154393626	48.2902957875	50.03767	1	0	0	0	0
2024-12-07 22:12:20	51.258240724000004	48.6337618205	50.03767	1	0	0	0	0
2024-12-07 22:12:30	52.480059524	48.2549001705	50.03767	1	0	0	0	0
2024-12-07 22:12:40	53.51761525	47.9357835735	50.03767	1	0	0	0	0
2024-12-07 22:12:50	53.93829025	47.8166830235	50.03767	1	0	0	0	0
2024-12-07 22:13:00	54.061354036000004	47.8178682415	50.03767	1	0	0	0	0
2024-12-07 22:13:10	53.188067236	48.2217492915	50.03767	1	0	0	0	0
2024-12-07 22:13:20	51.9291168385	48.874419064499996	50.03767	1	0	0	0	0
2024-12-07 22:13:30	49.3790317885	50.3599902145	50.03767	1	0	0	0	0
2024-12-07 22:13:40	46.476548662	51.67164545	50.03767	1	0	0	0	0
2024-12-07 22:13:50	42.394298062000004	52.40106045	50.03767	1	0	0	0	0
2024-12-07 22:14:00	39.1534302305	52.965934968	50.03767	1	0	0	0	0
2024-12-07 22:14:10	38.7293655805	52.979956568	50.03767	1	0	0	0	0
2024-12-07 22:14:20	38.521247183	52.928894332	50.03767	1	0	0	0	0
2024-12-07 22:14:30	39.036079283	52.659942732	50.03767	1	0	0	0	0
2024-12-07 22:14:40	39.575904195	52.361506649999995	50.03767	1	0	0	0	0
2024-12-07 22:14:50	40.199400695	51.96436165	50.03767	1	0	0	0	0
2024-12-07 22:15:00	41.560679442	51.4015184515	50.03767	1	0	0	0	0
2024-12-07 22:15:10	45.391924842	50.2839465015	50.03767	1	0	0	0	0
2024-12-07 22:15:20	48.287532691500004	49.428741359	50.03767	1	0	0	0	0
2024-12-07 22:15:30	48.0507887415	49.451894659	50.03767	1	0	0	0	0
2024-12-07 22:15:40	47.6325198215	49.5543618375	50.03767	1	0	0	0	0
2024-12-07 22:15:50	46.6065368715	49.9223580875	50.03767	1	0	0	0	0
2024-12-07 22:16:00	45.85788515	50.2188272125	50.03767	1	0	0	0	0
2024-12-07 22:16:10	46.037690149999996	50.275835962500004	50.03767	1	0	0	0	0
2024-12-07 22:16:20	45.94069705	50.379716389500004	50.03767	1	0	0	0	0
2024-12-07 22:16:30	44.91703205	50.6405150395	50.03767	1	0	0	0	0
2024-12-07 22:16:40	44.0286988085	50.911861017999996	50.03767	1	0	0	0	0
2024-12-07 22:16:50	43.5934327585	51.218517618	50.03767	1	0	0	0	0
2024-12-07 22:17:00	42.757607241500004	51.590787882	50.03767	1	0	0	0	0
2024-12-07 22:17:10	40.5807782915	52.182721281999996	50.03767	1	0	0	0	0
2024-12-07 22:17:20	38.965965600000004	52.6186625295	50.03767	1	0	0	0	0
2024-12-07 22:17:30	38.965965600000004	52.6186625295	50.03767	1	0	0	0	0
2024-12-07 22:17:40	39.20291375	52.513358431	50.03767	1	0	0	0	0
2024-12-07 22:17:50	38.18053875	52.719598131	50.03767	1	0	0	0	0
2024-12-07 22:18:00	38.18053875	52.719598131	50.03767	1	0	0	0	0
2024-12-07 22:18:10	37.448382787	52.862237403	50.03767	1	0	0	0	0
2024-12-07 22:18:20	37.687829687	52.791953503	50.03767	1	0	0	0	0
2024-12-07 22:18:30	37.753889063	52.750198504000004	50.03767	1	0	0	0	0
2024-12-07 22:18:40	37.038107200000006	52.787039511500005	50.03767	1	0	0	0	0
2024-12-07 22:18:50	37.038107200000006	52.787039511500005	50.03767	1	0	0	0	0
2024-12-07 22:19:00	37.8847472	52.5335395615	50.03767	1	0	0	0	0
2024-12-07 22:19:10	38.618142663499995	52.258847791	50.03767	1	0	0	0	0
2024-12-07 22:19:20	38.9724151135	51.913209490999996	50.03767	1	0	0	0	0
2024-12-07 22:19:30	39.256476164999995	51.72030368	50.03767	1	0	0	0	0
