PROCESSDATA	2111LIC31102B Data	yyyy-MM-dd HH:mm:ss
8	10	2024-08-23 21:55:00	751
tagname	2111LIC31102B.MV	2111LIC31102B.PV	2111LIC31102B.SV	2111LIC31102B.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	C301中段_OP	C301中段_PV	C301中段_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=2.2148384140000026	fsMin=0	fsGridNum=10	fdMax=2.2148384140000026tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-08-23 21:55:00	60.494202526	48.59847639	47.98181	1	0	0	0	0
2024-08-23 21:55:10	60.428455126	48.58811539	47.98181	1	0	0	0	0
2024-08-23 21:55:20	60.366399224	48.57573736	47.98181	1	0	0	0	0
2024-08-23 21:55:30	60.669801624	48.36367336	47.98181	1	0	0	0	0
2024-08-23 21:55:40	60.976322930500004	48.151239700000005	47.98181	1	0	0	0	0
2024-08-23 21:55:50	61.5916159805	47.9022097	47.98181	1	0	0	0	0
2024-08-23 21:56:00	62.2040001695	47.65402235	47.98181	1	0	0	0	0
2024-08-23 21:56:10	62.5284071195	47.48925735	47.98181	1	0	0	0	0
2024-08-23 21:56:20	62.84759600447761	47.327289767661696	47.98181	1	0	0	0	0
2024-08-23 21:56:30	62.65019645223881	47.442266533830846	47.98181	1	0	0	0	0
2024-08-23 21:56:40	62.4527969	47.5572433	47.98181	1	0	0	0	0
2024-08-23 21:56:50	62.11589589497488	47.76806576231156	47.98181	1	0	0	0	0
2024-08-23 21:57:00	61.7770859305	47.978976249999995	47.98181	1	0	0	0	0
2024-08-23 21:57:10	61.2492889805	48.198601249999996	47.98181	1	0	0	0	0
2024-08-23 21:57:20	60.724900390500004	48.416952284	47.98181	1	0	0	0	0
2024-08-23 21:57:30	60.537939440500004	48.509180684	47.98181	1	0	0	0	0
2024-08-23 21:57:40	60.354933976000005	48.599325115999996	47.98181	1	0	0	0	0
2024-08-23 21:57:50	60.563521576	48.483156715999996	47.98181	1	0	0	0	0
2024-08-23 21:58:00	60.7738284835	48.365706261	47.98181	1	0	0	0	0
