PROCESSDATA	2411PDIC10321 Data	yyyy-MM-dd HH:mm:ss
8	10	2024-06-05 21:55:00	751
tagname	2411PDIC10321.MV	2411PDIC10321.PV	2411PDIC10321.SV	2411PDIC10321.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	再生器再生滑阀差压_OP	再生器再生滑阀差压_PV	再生器再生滑阀差压_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=5.544873280277777	fsMin=0	fsGridNum=10	fdMax=5.544873280277777tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-06-05 22:05:20	59.6104	56.19346574	15	1	0	0	0	0
2024-06-05 22:05:30	60.73940815714286	58.15013857142857	15	1	0	0	0	0
2024-06-05 22:05:40	61.31076132	59.2756336	15	1	0	0	0	0
2024-06-05 22:05:50	60.10081144	57.0995214	15	1	0	0	0	0
2024-06-05 22:06:00	60.83738127666666	58.57219966666667	15	1	0	0	0	0
2024-06-05 22:06:10	61.170938445714285	59.27643656857143	15	1	0	0	0	0
2024-06-05 22:06:20	60.62602255428571	58.40553264571429	15	1	0	0	0	0
2024-06-05 22:06:30	60.153810014084506	57.634325016901414	15	1	0	0	0	0
2024-06-05 22:06:40	59.692416	56.81430768	15	1	0	0	0	0
2024-06-05 22:06:50	61.66862224571428	60.58700881714286	15	1	0	0	0	0
2024-06-05 22:07:00	59.908778292682925	57.28836137560975	15	1	0	0	0	0
2024-06-05 22:07:10	59.94340100140845	57.383386056338026	15	1	0	0	0	0
2024-06-05 22:07:20	60.83080981	59.19120141857143	15	1	0	0	0	0
2024-06-05 22:07:30	60.58059294117647	58.839950176470595	15	1	0	0	0	0
2024-06-05 22:07:40	61.38502805245901	60.38824338688524	15	1	0	0	0	0
2024-06-05 22:07:50	61.84855524857143	61.255494004285715	15	1	0	0	0	0
2024-06-05 22:08:00	59.632887184	56.998516624	15	1	0	0	0	0
2024-06-05 22:08:10	59.24802450126582	56.2138691556962	15	1	0	0	0	0
2024-06-05 22:08:20	60.60166318571429	58.81772450285714	15	1	0	0	0	0
2024-06-05 22:08:30	60.295140111428566	58.33770009142857	15	1	0	0	0	0
2024-06-05 22:08:40	59.71641970666666	57.147701	15	1	0	0	0	0
2024-06-05 22:08:50	60.55326048571428	58.622911068571426	15	1	0	0	0	0
2024-06-05 22:09:00	58.216854932	54.2089372	15	1	0	0	0	0
2024-06-05 22:09:10	58.216854932	54.2089372	15	1	0	0	0	0
2024-06-05 22:09:20	58.216854932	54.2089372	15	1	0	0	0	0
2024-06-05 22:09:30	58.216854932	54.2089372	15	1	0	0	0	0
2024-06-05 22:09:40	58.216854932	54.2089372	15	1	0	0	0	0
2024-06-05 22:09:50	58.216854932	54.2089372	15	1	0	0	0	0
2024-06-05 22:10:00	58.216854932	54.2089372	15	1	0	0	0	0
2024-06-05 22:10:10	58.52260786	54.805260038	15	1	0	0	0	0
2024-06-05 22:10:20	57.30349374875	52.457012999999996	15	1	0	0	0	0
2024-06-05 22:10:30	59.75160597	57.00442753666667	15	1	0	0	0	0
2024-06-05 22:10:40	59.79512264347826	57.15313106086956	15	1	0	0	0	0
2024-06-05 22:10:50	58.31349577254902	54.44603746862745	15	1	0	0	0	0
2024-06-05 22:11:00	57.885016251428574	53.61726828571428	15	1	0	0	0	0
2024-06-05 22:11:10	58.14336149677419	54.10332741935484	15	1	0	0	0	0
2024-06-05 22:11:20	59.725201615	57.236607500000005	15	1	0	0	0	0
2024-06-05 22:11:30	59.642683408	57.253071199999994	15	1	0	0	0	0
2024-06-05 22:11:40	58.850284	55.82507564857143	15	1	0	0	0	0
2024-06-05 22:11:50	59.14083542857143	56.35621266	15	1	0	0	0	0
2024-06-05 22:12:00	59.868339903999995	57.72807102	15	1	0	0	0	0
2024-06-05 22:12:10	60.37844	58.7079874	15	1	0	0	0	0
2024-06-05 22:12:20	61.75071395142857	61.380883655714285	15	1	0	0	0	0
2024-06-05 22:12:30	60.604953889855075	59.296290328985506	15	1	0	0	0	0
2024-06-05 22:12:40	59.66675923661972	57.48828540845071	15	1	0	0	0	0
2024-06-05 22:12:50	60.13859749	58.34417069	15	1	0	0	0	0
2024-06-05 22:13:00	58.606482965000005	55.4272281	15	1	0	0	0	0
2024-06-05 22:13:10	58.777520814285715	55.67074254285714	15	1	0	0	0	0
2024-06-05 22:13:20	59.19309315	56.435588843333335	15	1	0	0	0	0
2024-06-05 22:13:30	59.04715144117647	56.163655629411764	15	1	0	0	0	0
2024-06-05 22:13:40	60.140424543209875	58.30552843703704	15	1	0	0	0	0
2024-06-05 22:13:50	60.45180820677966	58.94820193898305	15	1	0	0	0	0
2024-06-05 22:14:00	60.301280858823525	58.66925967647059	15	1	0	0	0	0
2024-06-05 22:14:10	60.301280858823525	58.66925967647059	15	1	0	0	0	0
2024-06-05 22:14:20	60.301280858823525	58.66925967647059	15	1	0	0	0	0
