PROCESSDATA	2111LIC33102 Data	yyyy-MM-dd HH:mm:ss
8	10	2024-10-03 21:55:00	751
tagname	2111LIC33102.MV	2111LIC33102.PV	2111LIC33102.SV	2111LIC33102.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	D301水包_OP	D301水包_PV	D301水包_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=1.4263965204552242	fsMin=0	fsGridNum=10	fdMax=1.4263965204552242tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-10-03 21:55:00	50.97135239	51.039228211	51.0030556	1	0	0	0	0
2024-10-03 21:55:10	50.94033889	51.090347060999996	51.0030556	1	0	0	0	0
2024-10-03 21:55:20	50.935997	51.0975037	51.0030556	1	0	0	0	0
2024-10-03 21:55:30	50.964076368421054	51.05766538421052	51.0030556	1	0	0	0	0
2024-10-03 21:55:40	50.909389212499995	50.953608153125	51.0030556	1	0	0	0	0
2024-10-03 21:55:50	50.7897785875	50.890429246875	51.0030556	1	0	0	0	0
2024-10-03 21:56:00	50.776971513	50.874139094	51.0030556	1	0	0	0	0
2024-10-03 21:56:10	50.781551062999995	50.865481994	51.0030556	1	0	0	0	0
2024-10-03 21:56:20	50.774059954	50.80181121	51.0030556	1	0	0	0	0
2024-10-03 21:56:30	50.764603854	50.72918471	51.0030556	1	0	0	0	0
2024-10-03 21:56:40	50.752368148	50.76869189	51.0030556	1	0	0	0	0
2024-10-03 21:56:50	50.739679948	50.82645339	51.0030556	1	0	0	0	0
2024-10-03 21:57:00	50.890569252	50.844205325	51.0030556	1	0	0	0	0
2024-10-03 21:57:10	51.068087452	50.855444075	51.0030556	1	0	0	0	0
2024-10-03 21:57:20	50.958189911	50.858877637	51.0030556	1	0	0	0	0
2024-10-03 21:57:30	50.801503761	50.861040587000005	51.0030556	1	0	0	0	0
2024-10-03 21:57:40	50.835133289000005	50.922737338000005	51.0030556	1	0	0	0	0
2024-10-03 21:57:50	50.899744439	50.994125638	51.0030556	1	0	0	0	0
2024-10-03 21:58:00	51.075101100000005	51.078726591	51.0030556	1	0	0	0	0
2024-10-03 21:58:10	51.268486100000004	51.165478441	51.0030556	1	0	0	0	0
2024-10-03 21:58:20	51.1800147	51.171713909	51.0030556	1	0	0	0	0
2024-10-03 21:58:30	51.0456597	51.164842059	51.0030556	1	0	0	0	0
2024-10-03 21:58:40	51.15954112	51.2063081	51.0030556	1	0	0	0	0
2024-10-03 21:58:50	51.31383312	51.2556431	51.0030556	1	0	0	0	0
2024-10-03 21:59:00	51.14814148	51.156780706999996	51.0030556	1	0	0	0	0
2024-10-03 21:59:10	50.93035948	51.033793157	51.0030556	1	0	0	0	0
2024-10-03 21:59:20	50.961087509	51.056833693	51.0030556	1	0	0	0	0
2024-10-03 21:59:30	51.032270659	51.103646243	51.0030556	1	0	0	0	0
2024-10-03 21:59:40	51.011815391	51.026713823	51.0030556	1	0	0	0	0
2024-10-03 21:59:50	50.976442241	50.929636873	51.0030556	1	0	0	0	0
2024-10-03 22:00:00	50.903685278	50.876338911	51.0030556	1	0	0	0	0
2024-10-03 22:00:10	50.824842577999995	50.830167761	51.0030556	1	0	0	0	0
2024-10-03 22:00:20	50.898459861	50.850257289	51.0030556	1	0	0	0	0
2024-10-03 22:00:30	50.996896211	50.881133438999996	51.0030556	1	0	0	0	0
2024-10-03 22:00:40	51.046137765999994	50.949136476999996	51.0030556	1	0	0	0	0
2024-10-03 22:00:50	51.08737086599999	51.023183427	51.0030556	1	0	0	0	0
2024-10-03 22:01:00	51.109208773	51.069186078	51.0030556	1	0	0	0	0
2024-10-03 22:01:10	51.127889323	51.110623378	51.0030556	1	0	0	0	0
2024-10-03 22:01:20	51.113595022	51.126481397	51.0030556	1	0	0	0	0
2024-10-03 22:01:30	51.093932722	51.138175347	51.0030556	1	0	0	0	0
2024-10-03 22:01:40	51.012375276	51.064471125	51.0030556	1	0	0	0	0
2024-10-03 22:01:50	50.920741876	50.976864875	51.0030556	1	0	0	0	0
2024-10-03 22:02:00	50.942771924	50.972167999999996	51.0030556	1	0	0	0	0
2024-10-03 22:02:10	50.983305324	50.980968	51.0030556	1	0	0	0	0
2024-10-03 22:02:20	51.0317048	51.015334725	51.0030556	1	0	0	0	0
2024-10-03 22:02:30	51.0813848	51.053863475	51.0030556	1	0	0	0	0
2024-10-03 22:02:40	51.103477204	51.039918121	51.0030556	1	0	0	0	0
2024-10-03 22:02:50	51.121078604000004	51.017430471	51.0030556	1	0	0	0	0
2024-10-03 22:03:00	51.11224180099503	51.131862940298504	51.0030556	1	0	0	0	0
2024-10-03 22:03:10	51.09910110447761	51.26858473134328	51.0030556	1	0	0	0	0
2024-10-03 22:03:20	51.3479056281407	51.33332776884422	51.0030556	1	0	0	0	0
2024-10-03 22:03:30	51.642935778894476	51.385368673366834	51.0030556	1	0	0	0	0
2024-10-03 22:03:40	51.576535922	51.308945611999995	51.0030556	1	0	0	0	0
2024-10-03 22:03:50	51.451298621999996	51.211609812	51.0030556	1	0	0	0	0
2024-10-03 22:04:00	51.16981334	51.082930796	51.0030556	1	0	0	0	0
2024-10-03 22:04:10	50.86289234	50.949149395999996	51.0030556	1	0	0	0	0
2024-10-03 22:04:20	50.956796614	50.890960448	51.0030556	1	0	0	0	0
2024-10-03 22:04:30	51.115951514	50.845077248	51.0030556	1	0	0	0	0
2024-10-03 22:04:40	50.959499013000006	50.802986476	51.0030556	1	0	0	0	0
2024-10-03 22:04:50	50.751668563	50.761513076	51.0030556	1	0	0	0	0
2024-10-03 22:05:00	50.738157005000005	50.766522676	51.0030556	1	0	0	0	0
2024-10-03 22:05:10	50.756278755000004	50.779099276	51.0030556	1	0	0	0	0
2024-10-03 22:05:20	50.941666506	50.89509552	51.0030556	1	0	0	0	0
2024-10-03 22:05:30	51.154283606	51.02792752	51.0030556	1	0	0	0	0
2024-10-03 22:05:40	51.101826346	51.118683331999996	51.0030556	1	0	0	0	0
2024-10-03 22:05:50	51.006217446	51.202589532	51.0030556	1	0	0	0	0
2024-10-03 22:06:00	51.121411961	51.195208624	51.0030556	1	0	0	0	0
2024-10-03 22:06:10	51.270923311	51.172967024	51.0030556	1	0	0	0	0
2024-10-03 22:06:20	51.199645958	51.111257701999996	51.0030556	1	0	0	0	0
2024-10-03 22:06:30	51.092426258	51.043123402	51.0030556	1	0	0	0	0
2024-10-03 22:06:40	50.916580235000005	50.985369043999995	51.0030556	1	0	0	0	0
2024-10-03 22:06:50	50.729562485	50.929304443999996	51.0030556	1	0	0	0	0
2024-10-03 22:07:00	50.75806735721393	50.88456208457711	51.0030556	1	0	0	0	0
2024-10-03 22:07:10	50.82165730746269	50.84166288059701	51.0030556	1	0	0	0	0
2024-10-03 22:07:20	50.722285556281406	50.78858824371859	51.0030556	1	0	0	0	0
2024-10-03 22:07:30	50.59415585778895	50.73371794221106	51.0030556	1	0	0	0	0
2024-10-03 22:07:40	50.695500689	50.762779256	51.0030556	1	0	0	0	0
2024-10-03 22:07:50	50.834201839	50.805503856	51.0030556	1	0	0	0	0
