PROCESSDATA	2111PIC86501 Data	yyyy-MM-dd HH:mm:ss
8	10	2024-10-26 21:55:00	751
tagname	2111PIC86501.MV	2111PIC86501.PV	2111PIC86501.SV	2111PIC86501.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	燃气自D861至F401炉膛1#_OP	燃气自D861至F401炉膛1#_PV	燃气自D861至F401炉膛1#_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=1.8372980101055312	fsMin=0	fsGridNum=10	fdMax=1.8372980101055312tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-10-26 21:55:00	34.137093258	0.16433856772	0.165034816	1	0	0	0	0
2024-10-26 21:55:10	33.9992138	0.16457911726000002	0.16339386424	1	0	0	0	0
2024-10-26 21:55:20	33.998928703703704	0.16456629137037038	0.16393206096296298	1	0	0	0	0
2024-10-26 21:55:30	33.89219215769231	0.16455540073076924	0.1624939	1	0	0	0	0
2024-10-26 21:55:40	33.8945715	0.16354187936	0.162472084	1	0	0	0	0
2024-10-26 21:55:50	33.979655448	0.16294269558	0.1635039029	1	0	0	0	0
2024-10-26 21:56:00	34.01692571	0.16282539964	0.16369827908	1	0	0	0	0
2024-10-26 21:56:10	33.87941215399999	0.16365294484	0.161783352	1	0	0	0	0
2024-10-26 21:56:20	33.939066407812504	0.163677236875	0.163683186015625	1	0	0	0	0
2024-10-26 21:56:30	33.93326785714285	0.16369366642857144	0.16355525642857144	1	0	0	0	0
2024-10-26 21:56:40	33.8623919	0.16379939786	0.16258819766000002	1	0	0	0	0
2024-10-26 21:56:50	33.848566666	0.16416307034	0.16333586	1	0	0	0	0
2024-10-26 21:57:00	33.864308826	0.16331382706	0.16390977242	1	0	0	0	0
2024-10-26 21:57:10	33.822868050000004	0.16298363138	0.16219463312	1	0	0	0	0
2024-10-26 21:57:20	34.00006221746032	0.16378253066666665	0.16590753719047618	1	0	0	0	0
2024-10-26 21:57:30	33.94150740243902	0.1652246756097561	0.164834946	1	0	0	0	0
2024-10-26 21:57:40	33.914799796	0.16453567904	0.163930252	1	0	0	0	0
2024-10-26 21:57:50	34.065117082	0.16433516382	0.16602774968	1	0	0	0	0
2024-10-26 21:58:00	34.046591738000004	0.16448846602	0.16497461238	1	0	0	0	0
2024-10-26 21:58:10	33.699239494	0.16452315644	0.159119636	1	0	0	0	0
2024-10-26 21:58:20	33.88332178703704	0.16437929925925926	0.1633237487037037	1	0	0	0	0
2024-10-26 21:58:30	33.78628963617022	0.16391664042553192	0.16186574782978722	1	0	0	0	0
2024-10-26 21:58:40	33.845091492	0.16355862104	0.16346723982	1	0	0	0	0
2024-10-26 21:58:50	33.860989994	0.16376569044	0.16383338	1	0	0	0	0
2024-10-26 21:59:00	33.836657392	0.16349120642	0.163197756	1	0	0	0	0
2024-10-26 21:59:10	33.78844644	0.16316925354	0.1625480036	1	0	0	0	0
2024-10-26 21:59:20	33.76635198888889	0.16320742594444446	0.16248157353703704	1	0	0	0	0
2024-10-26 21:59:30	33.74967949787234	0.16339136797872342	0.162797868	1	0	0	0	0
2024-10-26 21:59:40	33.790724472	0.1627074907	0.163042024	1	0	0	0	0
2024-10-26 21:59:50	33.9582152	0.16323555206	0.16512414082000001	1	0	0	0	0
2024-10-26 22:00:00	34.0315272	0.16338911622	0.16563031222	1	0	0	0	0
2024-10-26 22:00:10	33.992090324	0.16397881326	0.1643959	1	0	0	0	0
2024-10-26 22:00:20	33.95553720555556	0.16437484355555557	0.16387246587037035	1	0	0	0	0
2024-10-26 22:00:30	33.79823520851063	0.1646317414468085	0.16158585853191487	1	0	0	0	0
2024-10-26 22:00:40	33.774803404	0.16382747978	0.16191250042	1	0	0	0	0
2024-10-26 22:00:50	33.791933224	0.16338243955999998	0.162589252	1	0	0	0	0
