PROCESSDATA	2111PIC23001 Data	yyyy-MM-dd HH:mm:ss
8	10	2025-02-21 21:55:00	751
tagname	2111PIC23001.MV	2111PIC23001.PV	2111PIC23001.SV	2111PIC23001.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	D201_OP	D201_PV	D201_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=24.915053135714285	fsMin=0	fsGridNum=10	fdMax=24.915053135714285tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2025-02-21 21:55:00	27.446710059999997	0.1039609214	0.1036216	1	1	1	1	1
2025-02-21 21:55:10	27.394228076666668	0.10410350766666666	0.1036216	1	0	0	0	0
2025-02-21 21:55:20	27.5541135625	0.10399094745	0.1036216	1	0	0	0	0
2025-02-21 21:55:30	27.48072755245902	0.10397451878688524	0.1036216	1	0	0	0	0
2025-02-21 21:55:40	27.4151669875	0.10381141754999999	0.1036216	1	0	0	0	0
2025-02-21 21:55:50	27.394017592156864	0.10382528407843138	0.1036216	1	0	0	0	0
2025-02-21 21:56:00	27.2262669	0.10359994580392157	0.1036216	1	0	0	0	0
2025-02-21 21:56:10	27.1624604056338	0.10373010553521127	0.1036216	1	0	0	0	0
2025-02-21 21:56:20	27.142042169565215	0.10360604734782608	0.1036216	1	0	0	0	0
2025-02-21 21:56:30	27.449864608571428	0.10391761191428571	0.1036216	1	0	0	0	0
2025-02-21 21:56:40	27.0956478	0.10347360603846154	0.1036216	1	0	0	0	0
2025-02-21 21:56:50	27.16552197721519	0.10379422630379746	0.1036216	1	0	0	0	0
2025-02-21 21:57:00	27.14943696	0.1034772784	0.1036216	1	0	0	0	0
2025-02-21 21:57:10	27.297505479999998	0.1037282627	0.1036216	1	0	0	0	0
2025-02-21 21:57:20	27.10357543902439	0.10345032119512194	0.1036216	1	0	0	0	0
2025-02-21 21:57:30	27.160642018181818	0.10356994318181817	0.1036216	1	0	0	0	0
2025-02-21 21:57:40	27.151275427450983	0.10358486611764706	0.1036216	1	0	0	0	0
2025-02-21 21:57:50	27.2790661	0.1037452305510204	0.1036216	1	0	0	0	0
2025-02-21 21:58:00	27.33824314084507	0.10380259690140844	0.1036216	1	0	0	0	0
2025-02-21 21:58:10	27.3522778	0.103935191	0.1036216	1	0	0	0	0
2025-02-21 21:58:20	27.52199541	0.1039157974	0.1036216	1	0	0	0	0
2025-02-21 21:58:30	27.451836056338028	0.10391820460563381	0.1036216	1	0	0	0	0
2025-02-21 21:58:40	27.388366835443037	0.10404773451898734	0.1036216	1	0	0	0	0
2025-02-21 21:58:50	27.604381394915254	0.10407352566101695	0.1036216	1	0	0	0	0
2025-02-21 21:59:00	27.5299336	0.103976718	0.1036216	1	0	0	0	0
2025-02-21 21:59:10	27.775222788405795	0.10428425039130435	0.1036216	1	0	0	0	0
2025-02-21 21:59:20	27.601203670886076	0.10400129118987342	0.1036216	1	0	0	0	0
2025-02-21 21:59:30	27.598141178	0.10409901136000001	0.1036216	1	0	0	0	0
2025-02-21 21:59:40	27.575720145714286	0.10400388391428571	0.1036216	1	0	0	0	0
2025-02-21 21:59:50	27.40955	0.1038079224	0.1036216	1	0	0	0	0
2025-02-21 22:00:00	27.40955	0.1038079224	0.1036216	1	1	1	1	1
2025-02-21 22:00:10	27.3870678	0.10393754633333334	0.1036216	1	0	0	0	0
2025-02-21 22:00:20	27.751723534285716	0.10426572617142857	0.1036216	1	0	0	0	0
2025-02-21 22:00:30	27.686245713559323	0.10404179016949153	0.1036216	1	0	0	0	0
2025-02-21 22:00:40	27.5526657	0.10409603683333332	0.1036216	1	0	0	0	0
2025-02-21 22:00:50	27.87697602857143	0.10420933762857143	0.1036216	1	0	0	0	0
2025-02-21 22:01:00	27.83995	0.10426297936000001	0.1036216	1	0	0	0	0
2025-02-21 22:01:10	27.8090089375	0.10415238323214286	0.1036216	1	0	0	0	0
2025-02-21 22:01:20	27.993271078688522	0.10438863026229508	0.1036216	1	0	0	0	0
2025-02-21 22:01:30	27.889864	0.104336006	0.1036216	1	0	0	0	0
2025-02-21 22:01:40	27.89803482857143	0.1042889476	0.1036216	1	0	0	0	0
2025-02-21 22:01:50	28.114300357142856	0.10449517428571428	0.1036216	1	0	0	0	0
2025-02-21 22:02:00	27.95737197755102	0.10426562963265307	0.1036216	1	0	0	0	0
2025-02-21 22:02:10	27.768728525714284	0.1040084153	0.1036216	1	0	0	0	0
2025-02-21 22:02:20	27.669640700000002	0.10405497808474576	0.1036216	1	0	0	0	0
2025-02-21 22:02:30	28.16396321830986	0.10461094053521128	0.1036216	1	0	0	0	0
2025-02-21 22:02:40	28.045963953521127	0.1043432392112676	0.1036216	1	0	0	0	0
2025-02-21 22:02:50	28.022332504494383	0.10429719680898876	0.1036216	1	0	0	0	0
2025-02-21 22:03:00	28.031856840677968	0.10415664306779661	0.1036216	1	0	0	0	0
2025-02-21 22:03:10	28.0147012	0.10425886201449275	0.1036216	1	0	0	0	0
2025-02-21 22:03:20	28.01680211	0.10425079463333332	0.1036216	1	0	0	0	0
2025-02-21 22:03:30	28.1529675	0.10455430152380953	0.1036216	1	0	0	0	0
2025-02-21 22:03:40	28.306451157142856	0.104386675	0.1036216	1	0	0	0	0
2025-02-21 22:03:50	28.178413005	0.10436300485000001	0.1036216	1	0	0	0	0
2025-02-21 22:04:00	28.1649151	0.1044401869	0.1036216	1	0	0	0	0
2025-02-21 22:04:10	28.287983055696202	0.10470127758227848	0.1036216	1	0	0	0	0
2025-02-21 22:04:20	28.540968214285716	0.104785481	0.1036216	1	0	0	0	0
2025-02-21 22:04:30	28.55198761594203	0.10464237310144928	0.1036216	1	0	0	0	0
2025-02-21 22:04:40	28.426633727419357	0.10468319612903226	0.1036216	1	0	0	0	0
2025-02-21 22:04:50	28.714334384810126	0.10520470770886077	0.1036216	1	0	0	0	0
2025-02-21 22:05:00	28.714334384810126	0.10520470770886077	0.1036216	1	1	1	1	1
2025-02-21 22:05:10	29.0488644	0.10521993047058824	0.1036216	1	0	0	0	0
2025-02-21 22:05:20	28.944544226086958	0.10507701233333334	0.1036216	1	0	0	0	0
2025-02-21 22:05:30	28.95791	0.10511120334693877	0.1036216	1	0	0	0	0
2025-02-21 22:05:40	28.89852143164557	0.10493819908860759	0.1036216	1	0	0	0	0
2025-02-21 22:05:50	28.949545049295775	0.10509885845070423	0.1036216	1	0	0	0	0
2025-02-21 22:06:00	29.2358856	0.10514194215686275	0.1036216	1	0	0	0	0
2025-02-21 22:06:10	29.093584542307692	0.10505736730769231	0.1036216	1	0	0	0	0
2025-02-21 22:06:20	29.0669937	0.1048466036	0.1036216	1	0	0	0	0
2025-02-21 22:06:30	29.048485364705883	0.10497015205882353	0.1036216	1	0	0	0	0
2025-02-21 22:06:40	28.90096338414634	0.10479172653658536	0.1036216	1	0	0	0	0
2025-02-21 22:06:50	29.528975833333334	0.10558947675000001	0.1036216	1	0	0	0	0
2025-02-21 22:07:00	29.644757170886074	0.10553913064556962	0.1036216	1	0	0	0	0
2025-02-21 22:07:10	29.7633324	0.10568495042857143	0.1036216	1	0	0	0	0
