PROCESSDATA	2111FIC40102E Data	yyyy-MM-dd HH:mm:ss
8	10	2024-08-23 21:55:00	751
tagname	2111FIC40102E.MV	2111FIC40102E.PV	2111FIC40102E.SV	2111FIC40102E.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	常底油进F401五路支管_OP	常底油进F401五路支管_PV	常底油进F401五路支管_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=1.905420290383951	fsMin=0	fsGridNum=10	fdMax=1.905420290383951tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-08-23 21:55:00	40.94663569285714	98.50325785714286	97.591305	1	0	0	0	0
2024-08-23 21:55:10	41.05926072463768	97.91048855072464	97.83525	1	0	0	0	0
2024-08-23 21:55:20	41.110304285714285	97.88377354505495	98.09489835164835	1	0	0	0	0
2024-08-23 21:55:30	41.004349757142855	98.43743371428572	98.210898	1	0	0	0	0
2024-08-23 21:55:40	40.990436216129034	98.25064107741936	98.09545225806453	1	0	0	0	0
2024-08-23 21:55:50	41.1282938707317	97.80015999999999	98.15361707317074	1	0	0	0	0
2024-08-23 21:56:00	41.007813180392155	97.45017117647059	97.4533	1	0	0	0	0
2024-08-23 21:56:10	40.91293833	97.902945	97.767617	1	0	0	0	0
2024-08-23 21:56:20	40.92528166666666	98.110826	97.89540833333334	1	0	0	0	0
2024-08-23 21:56:30	41.01046867647059	97.36356897058823	97.5736794117647	1	0	0	0	0
2024-08-23 21:56:40	40.97401158536585	97.38055141951219	97.59397707317073	1	0	0	0	0
2024-08-23 21:56:50	41.02127202380952	97.57432010714287	97.82847642857143	1	0	0	0	0
2024-08-23 21:57:00	40.93866130434783	98.1554152173913	98.06590347826088	1	0	0	0	0
2024-08-23 21:57:10	41.04090708333333	98.16698583333333	98.32084166666667	1	0	0	0	0
2024-08-23 21:57:20	40.9724257084507	98.04286169014085	97.89504619718309	1	0	0	0	0
2024-08-23 21:57:30	41.0572807423077	97.98961288461538	98.2431126923077	1	0	0	0	0
2024-08-23 21:57:40	41.105182088235296	97.66391658039215	97.9354248	1	0	0	0	0
2024-08-23 21:57:50	41.05470136904762	97.7572060047619	97.9197159	1	0	0	0	0
2024-08-23 21:58:00	41.07310104347826	98.04858623913043	98.15243173913044	1	0	0	0	0
2024-08-23 21:58:10	41.177261009999995	97.485947	97.939109	1	0	0	0	0
2024-08-23 21:58:20	40.962872891176474	97.7683480882353	97.42525661764707	1	0	0	0	0
2024-08-23 21:58:30	40.85078644927536	97.75171420289855	97.30204274202899	1	0	0	0	0
2024-08-23 21:58:40	40.82713092	98.015192	97.72648	1	0	0	0	0
2024-08-23 21:58:50	41.03728141777778	97.50013776444445	98.04219977777778	1	0	0	0	0
2024-08-23 21:59:00	40.9989946117647	97.79851647058824	98.02117705882353	1	0	0	0	0
2024-08-23 21:59:10	41.13803059	98.17880016999999	98.82993	1	0	0	0	0
