PROCESSDATA	2111FIC40102B Data	yyyy-MM-dd HH:mm:ss
8	10	2024-08-24 21:55:00	751
tagname	2111FIC40102B.MV	2111FIC40102B.PV	2111FIC40102B.SV	2111FIC40102B.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	常底油进F401二路支管_OP	常底油进F401二路支管_PV	常底油进F401二路支管_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=1.921874734183671	fsMin=0	fsGridNum=10	fdMax=1.921874734183671tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-08-24 21:55:00	40.937599306557374	98.9985362295082	98.81427568196722	1	0	0	0	0
2024-08-24 21:55:10	41.1604576	98.5692444	99.16176	1	0	0	0	0
2024-08-24 21:55:20	41.229974344262295	98.88998190163935	99.51089	1	0	0	0	0
2024-08-24 21:55:30	41.34366605714286	100.29487257142857	100.95609814285714	1	0	0	0	0
2024-08-24 21:55:40	41.66938436666667	100.16801983333333	101.766741	1	0	0	0	0
2024-08-24 21:55:50	41.79423826086956	100.58458304347826	101.65398910144928	1	0	0	0	0
2024-08-24 21:56:00	41.37237984285714	101.03639257142856	100.22479342857143	1	0	0	0	0
2024-08-24 21:56:10	41.670319407246375	99.5468268115942	99.92124585507246	1	0	0	0	0
2024-08-24 21:56:20	41.31373811111111	100.5200629	99.39289622222222	1	0	0	0	0
2024-08-24 21:56:30	41.2126384125	100.40335437499999	99.41852875000001	1	0	0	0	0
2024-08-24 21:56:40	41.58493614901961	99.68637470588236	100.32190901960784	1	0	0	0	0
2024-08-24 21:56:50	41.600000689655175	100.36481736379311	100.705742	1	0	0	0	0
2024-08-24 21:57:00	41.5881855625	100.976847625	101.123246375	1	0	0	0	0
2024-08-24 21:57:10	41.7831515942029	100.86814366666667	101.56107149275361	1	0	0	0	0
2024-08-24 21:57:20	41.68042113898305	100.92721184745763	101.044174	1	0	0	0	0
2024-08-24 21:57:30	41.71857439859155	101.06891528169014	101.15218184507042	1	0	0	0	0
2024-08-24 21:57:40	41.61392723877551	100.87961928571428	100.64568365306123	1	0	0	0	0
2024-08-24 21:57:50	41.83325875	100.3261795	100.88232049999999	1	0	0	0	0
2024-08-24 21:58:00	41.79185836231884	100.73217171014493	100.84191773913044	1	0	0	0	0
2024-08-24 21:58:10	41.85758665555556	100.80348066666666	101.1348581728395	1	0	0	0	0
2024-08-24 21:58:20	41.76426430588236	101.07020282352941	100.85299582352941	1	0	0	0	0
2024-08-24 21:58:30	41.700566065573774	100.95510819672131	100.62593032786886	1	0	0	0	0
2024-08-24 21:58:40	41.62972765625	100.88682890625	100.62836640625001	1	0	0	0	0
2024-08-24 21:58:50	41.63409222758621	100.86375203448276	100.663177	1	0	0	0	0
2024-08-24 21:59:00	41.91650491666667	100.63172949999999	101.3895175	1	0	0	0	0
2024-08-24 21:59:10	41.73799135714286	100.77164128571428	100.64053928571428	1	0	0	0	0
2024-08-24 21:59:20	41.63392346619718	100.91879032394367	100.53053992957746	1	0	0	0	0
2024-08-24 21:59:30	41.43357121267606	101.04249947887324	100.10745190140845	1	0	0	0	0
2024-08-24 21:59:40	41.55280094	100.0281484	99.895542	1	0	0	0	0
2024-08-24 21:59:50	41.3075752	100.183228	99.31622	1	0	0	0	0
2024-08-24 22:00:00	41.16600076034483	99.81549365517242	98.97686620689655	1	0	0	0	0
2024-08-24 22:00:10	40.966732873913045	99.43260765108695	98.40703777173913	1	0	0	0	0
2024-08-24 22:00:20	41.02613420289855	99.22559168115941	98.8606252173913	1	0	0	0	0
2024-08-24 22:00:30	41.25644294117647	98.85996	99.28166882352942	1	0	0	0	0
2024-08-24 22:00:40	41.37068153207547	98.75607094339622	99.4352	1	0	0	0	0
2024-08-24 22:00:50	41.00829850909091	100.21141664935065	99.42403348571429	1	0	0	0	0
2024-08-24 22:01:00	41.7465172	98.739975	100.56044	1	0	0	0	0
2024-08-24 22:01:10	41.45490920833333	100.27093279166667	100.179779	1	0	0	0	0
2024-08-24 22:01:20	41.325125886792456	99.64807026415095	99.39237766037736	1	0	0	0	0
