PROCESSDATA	2111FIC10201 Data	yyyy-MM-dd HH:mm:ss
8	10	2024-10-17 21:55:00	751
tagname	2111FIC10201.MV	2111FIC10201.PV	2111FIC10201.SV	2111FIC10201.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	二级电脱盐注水管_OP	二级电脱盐注水管_PV	二级电脱盐注水管_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=3.1955354864430383	fsMin=0	fsGridNum=10	fdMax=3.1955354864430383tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-10-17 21:55:00	9.113555347826086	48.134841978260866	48.0000153	1	0	0	0	0
2024-10-17 21:55:10	9.095024285714285	48.15617808571429	48.0000153	1	0	0	0	0
2024-10-17 21:55:20	9.064249	48.226349410000005	48.0000153	1	0	0	0	0
2024-10-17 21:55:30	9.084980642857143	48.06540042857143	48.0000153	1	0	0	0	0
2024-10-17 21:55:40	9.056019291139242	48.184004858227844	48.0000153	1	0	0	0	0
2024-10-17 21:55:50	9.050960016393443	48.132709790163936	48.0000153	1	0	0	0	0
2024-10-17 21:56:00	9.036338	48.110697172151895	48.0000153	1	0	0	0	0
2024-10-17 21:56:10	9.033789176470588	48.075982017647064	48.0000153	1	0	0	0	0
2024-10-17 21:56:20	9.040546461538462	47.998988261538464	48.0000153	1	0	0	0	0
2024-10-17 21:56:30	9.02497058117647	48.04218112352941	48.0000153	1	0	0	0	0
2024-10-17 21:56:40	9.002870539325842	48.11673922134831	48.0000153	1	0	0	0	0
2024-10-17 21:56:50	9.027719658227848	47.955995088607594	48.0000153	1	0	0	0	0
2024-10-17 21:57:00	9.03240456521739	47.95259130434783	48.0000153	1	0	0	0	0
2024-10-17 21:57:10	8.98418864	48.22932315714286	48.0000153	1	0	0	0	0
2024-10-17 21:57:20	9.0300408	47.96779959	48.0000153	1	0	0	0	0
2024-10-17 21:57:30	9.012578214285714	48.067691014285714	48.0000153	1	0	0	0	0
2024-10-17 21:57:40	9.019510967741937	48.0072832	48.0000153	1	0	0	0	0
2024-10-17 21:57:50	9.024806831460673	47.95872939775281	48.0000153	1	0	0	0	0
2024-10-17 21:58:00	8.971286288888889	48.19942168222222	48.0000153	1	0	0	0	0
2024-10-17 21:58:10	8.97936908	48.084991804	48.0000153	1	0	0	0	0
2024-10-17 21:58:20	8.99287705882353	48.02013436078431	48.0000153	1	0	0	0	0
2024-10-17 21:58:30	9.017225510638298	47.91529893617022	48.0000153	1	0	0	0	0
2024-10-17 21:58:40	9.019818773924051	47.955565101265826	48.0000153	1	0	0	0	0
2024-10-17 21:58:50	9.023596864225352	47.90902830985916	48.0000153	1	0	0	0	0
2024-10-17 21:59:00	8.995334333333334	48.06223444444445	48.0000153	1	0	0	0	0
2024-10-17 21:59:10	9.012997416666666	48.003700525	48.0000153	1	0	0	0	0
2024-10-17 21:59:20	9.021704076923077	47.96102200769231	48.0000153	1	0	0	0	0
2024-10-17 21:59:30	9.0010504	48.055929629999994	48.0000153	1	0	0	0	0
2024-10-17 21:59:40	8.981446652173913	48.104606660869564	48.0000153	1	0	0	0	0
2024-10-17 21:59:50	8.975687229508196	48.10753446557377	48.0000153	1	0	0	0	0
2024-10-17 22:00:00	8.98372345425	48.032652595	48.0000153	1	0	0	0	0
2024-10-17 22:00:10	8.957245405797101	48.11500839710145	48.0000153	1	0	0	0	0
2024-10-17 22:00:20	8.9181118	48.257697040000004	48.0000153	1	0	0	0	0
2024-10-17 22:00:30	8.942256770491804	48.09463866229508	48.0000153	1	0	0	0	0
2024-10-17 22:00:40	8.902124413793103	48.22263104482759	48.0000153	1	0	0	0	0
2024-10-17 22:00:50	8.91749688405797	48.09365262173913	48.0000153	1	0	0	0	0
2024-10-17 22:01:00	8.905385328767123	48.09103980958904	48.0000153	1	0	0	0	0
2024-10-17 22:01:10	8.958369748360656	47.80997276229508	48.0000153	1	0	0	0	0
2024-10-17 22:01:20	8.960259641975307	47.90515889876543	48.0000153	1	0	0	0	0
2024-10-17 22:01:30	8.97155532	47.898736272	48.0000153	1	0	0	0	0
2024-10-17 22:01:40	8.955771205882353	47.99744908382353	48.0000153	1	0	0	0	0
2024-10-17 22:01:50	8.973608016393442	47.938644367213115	48.0000153	1	0	0	0	0
2024-10-17 22:02:00	8.965592717948718	48.004147725641026	48.0000153	1	0	0	0	0
2024-10-17 22:02:10	8.93776214084507	48.138360091549295	48.0000153	1	0	0	0	0
2024-10-17 22:02:20	8.962313714285715	47.98523685714286	48.0000153	1	0	0	0	0
2024-10-17 22:02:30	8.936521433333333	48.062067	48.0000153	1	0	0	0	0
2024-10-17 22:02:40	8.955375206896552	47.96891939310345	48.0000153	1	0	0	0	0
2024-10-17 22:02:50	8.970686285714287	47.90065945714286	48.0000153	1	0	0	0	0
2024-10-17 22:03:00	8.964069349295775	47.94797732394366	48.0000153	1	0	0	0	0
2024-10-17 22:03:10	8.9413205	48.0847483	48.0000153	1	0	0	0	0
2024-10-17 22:03:20	8.906177785714286	48.21007322142857	48.0000153	1	0	0	0	0
2024-10-17 22:03:30	8.9329433	48.055878220000004	48.0000153	1	0	0	0	0
2024-10-17 22:03:40	8.936792857142857	48.06618934285714	48.0000153	1	0	0	0	0
2024-10-17 22:03:50	8.967567764705883	47.939724229411766	48.0000153	1	0	0	0	0
2024-10-17 22:04:00	8.9704562247191	47.9670795505618	48.0000153	1	0	0	0	0
2024-10-17 22:04:10	9.000108	47.885705	48.0000153	1	0	0	0	0
2024-10-17 22:04:20	9.06873192857143	47.610912992857145	48.0000153	1	0	0	0	0
2024-10-17 22:04:30	9.0300178	47.915490132	48.0000153	1	0	0	0	0
2024-10-17 22:04:40	9.030970507042253	47.96167088873239	48.0000153	1	0	0	0	0
2024-10-17 22:04:50	9.071497470588236	47.834143247058826	48.0000153	1	0	0	0	0
2024-10-17 22:05:00	9.044778916666667	48.023581961111105	48.0000153	1	0	0	0	0
2024-10-17 22:05:10	9.030524999999999	48.055799375	48.0000153	1	0	0	0	0
2024-10-17 22:05:20	9.078077177419354	47.844080201612904	48.0000153	1	0	0	0	0
2024-10-17 22:05:30	9.058566260869565	47.98629293043478	48.0000153	1	0	0	0	0
2024-10-17 22:05:40	9.072657215686275	47.9395563627451	48.0000153	1	0	0	0	0
2024-10-17 22:05:50	9.097284923076923	47.871381484615384	48.0000153	1	0	0	0	0
2024-10-17 22:06:00	9.149042776	47.68408778	48.0000153	1	0	0	0	0
2024-10-17 22:06:10	9.157199912000001	47.75508	48.0000153	1	0	0	0	0
2024-10-17 22:06:20	9.133118481012659	47.94552157974684	48.0000153	1	0	0	0	0
2024-10-17 22:06:30	9.1355129592	47.933197967999995	48.0000153	1	0	0	0	0
2024-10-17 22:06:40	9.120868317654322	48.01884716296296	48.0000153	1	0	0	0	0
2024-10-17 22:06:50	9.123539612244898	48.02365387755102	48.0000153	1	0	0	0	0
2024-10-17 22:07:00	9.132835067796611	47.98087101694915	48.0000153	1	0	0	0	0
2024-10-17 22:07:10	9.088781294117648	48.16757764705882	48.0000153	1	0	0	0	0
2024-10-17 22:07:20	9.03223195	48.341727335	48.0000153	1	0	0	0	0
