PROCESSDATA	2111FIC40102C Data	yyyy-MM-dd HH:mm:ss
8	10	2024-11-09 21:55:00	751
tagname	2111FIC40102C.MV	2111FIC40102C.PV	2111FIC40102C.SV	2111FIC40102C.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	常底油进F401三路支管_OP	常底油进F401三路支管_PV	常底油进F401三路支管_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=1.0849690222334019	fsMin=0	fsGridNum=10	fdMax=1.0849690222334019tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-11-09 21:55:00	42.86602194929577	102.36617626760564	101.84090487323944	1	0	0	0	0
2024-11-09 21:55:10	42.841231428571426	102.53305985714286	102.10592868571429	1	0	0	0	0
2024-11-09 21:55:20	42.91597195121951	102.20263770731708	102.15966593902439	1	0	0	0	0
2024-11-09 21:55:30	42.8169588	102.52446006666666	102.11421648	1	0	0	0	0
2024-11-09 21:55:40	42.82782098260869	102.13837413043478	101.95136552173913	1	0	0	0	0
2024-11-09 21:55:50	42.72317668405797	102.00890001449275	101.58941114492754	1	0	0	0	0
2024-11-09 21:56:00	42.80054092941177	101.53793576470588	101.48912747058824	1	0	0	0	0
2024-11-09 21:56:10	42.7404137	101.498505	101.357155	1	0	0	0	0
2024-11-09 21:56:20	42.83915977	101.4113147	101.6923115	1	0	0	0	0
2024-11-09 21:56:30	43.101743764285715	101.41922885714285	102.50688604285715	1	0	0	0	0
2024-11-09 21:56:40	43.16839795	101.56109123333333	102.4401	1	0	0	0	0
2024-11-09 21:56:50	43.16786	101.586693	101.993942	1	0	0	0	0
2024-11-09 21:57:00	42.85551241772152	102.27804341772152	101.58429222784811	1	0	0	0	0
2024-11-09 21:57:10	42.88026076734694	101.78954442857143	101.53971206122449	1	0	0	0	0
2024-11-09 21:57:20	43.22653135774648	100.99922060563381	101.931259	1	0	0	0	0
2024-11-09 21:57:30	43.057977974683546	101.69635620253165	101.76471544303797	1	0	0	0	0
2024-11-09 21:57:40	43.10406832333334	101.43348448333333	101.70719435000001	1	0	0	0	0
2024-11-09 21:57:50	42.98057960784314	101.92674021568628	101.54121296078432	1	0	0	0	0
2024-11-09 21:58:00	43.134280979591836	101.28156844897958	101.5967022244898	1	0	0	0	0
2024-11-09 21:58:10	42.96457647560976	101.91571707317073	101.40147148780488	1	0	0	0	0
2024-11-09 21:58:20	43.06711912428571	101.88534101428571	101.88467677142857	1	0	0	0	0
2024-11-09 21:58:30	43.06357386760563	101.65511725352113	101.68127590140845	1	0	0	0	0
2024-11-09 21:58:40	43.12284415730337	101.53780771910112	101.81394787640448	1	0	0	0	0
2024-11-09 21:58:50	43.02385458333333	102.03692966666667	101.83859508333333	1	0	0	0	0
2024-11-09 21:59:00	43.17348465633803	101.62822821126761	101.95227526760564	1	0	0	0	0
2024-11-09 21:59:10	43.16215832941177	101.66076627941176	101.87928379411765	1	0	0	0	0
2024-11-09 21:59:20	43.19429167875	101.73580675	101.96648885	1	0	0	0	0
2024-11-09 21:59:30	43.11857158840579	101.78772033333334	101.70728701449275	1	0	0	0	0
2024-11-09 21:59:40	43.15635456956522	101.78296582608696	101.94602365217392	1	0	0	0	0
2024-11-09 21:59:50	43.19910710144927	101.7885348405797	102.02840079710145	1	0	0	0	0
2024-11-09 22:00:00	42.985	101.993431	101.320213	1	0	0	0	0
2024-11-09 22:00:10	43.08208989772727	101.81619320454546	101.806435	1	0	0	0	0
2024-11-09 22:00:20	42.97047	102.00161	101.626762	1	0	0	0	0
2024-11-09 22:00:30	43.09756273972602	101.91714216438356	101.94514030136986	1	0	0	0	0
2024-11-09 22:00:40	43.09292113684211	102.01168536842106	101.97512189473684	1	0	0	0	0
2024-11-09 22:00:50	42.959891497959184	102.12538969387755	101.637428	1	0	0	0	0
2024-11-09 22:01:00	43.03095777083334	101.69626345833333	101.68147068055555	1	0	0	0	0
2024-11-09 22:01:10	42.8158339	101.85942193617022	101.292877	1	0	0	0	0
2024-11-09 22:01:20	42.645249040740744	101.875075654321	101.06842328395062	1	0	0	0	0
2024-11-09 22:01:30	42.8317871	101.284142	101.584686	1	0	0	0	0
2024-11-09 22:01:40	42.89121738522727	101.16038119318182	101.51268942045455	1	0	0	0	0
2024-11-09 22:01:50	42.80984709344263	101.14499770491804	101.10542601639345	1	0	0	0	0
2024-11-09 22:02:00	42.68265258823529	101.40158329411764	100.90964823529413	1	0	0	0	0
2024-11-09 22:02:10	42.614677654	101.27001946	100.820969	1	0	0	0	0
