PROCESSDATA	2111LIC44001 Data	yyyy-MM-dd HH:mm:ss
8	10	2024-09-01 21:55:00	751
tagname	2111LIC44001.MV	2111LIC44001.PV	2111LIC44001.SV	2111LIC44001.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	C410_OP	C410_PV	C410_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=0.5636902754999991	fsMin=0	fsGridNum=10	fdMax=0.5636902754999991tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-09-01 21:55:00	29.84356165	50.0432548585	50	1	0	0	0	0
2024-09-01 21:55:10	29.8457264475	50.043438733	50	1	0	0	0	0
2024-09-01 21:55:20	29.8287191975	50.025150433	50	1	0	0	0	0
2024-09-01 21:55:30	29.804011009499998	50.0029249585	50	1	0	0	0	0
2024-09-01 21:55:40	29.7712875595	49.9766016085	50	1	0	0	0	0
2024-09-01 21:55:50	29.7712875595	49.9766016085	50	1	0	0	0	0
2024-09-01 21:56:00	29.789011193	49.9979781085	50	1	0	0	0	0
2024-09-01 21:56:10	29.789011193	49.9979781085	50	1	0	0	0	0
2024-09-01 21:56:20	29.82785734	50.027008163	50	1	0	0	0	0
2024-09-01 21:56:30	29.83129149	50.0279766365	50	1	0	0	0	0
2024-09-01 21:56:40	29.819392490000002	50.0179954865	50	1	0	0	0	0
2024-09-01 21:56:50	29.812989820000002	50.012950400499996	50	1	0	0	0	0
2024-09-01 21:57:00	29.81230782	50.0130428505	50	1	0	0	0	0
2024-09-01 21:57:10	29.813969	50.0144045475	50	1	0	0	0	0
2024-09-01 21:57:20	29.818069	50.0170872975	50	1	0	0	0	0
2024-09-01 21:57:30	29.816988867000003	50.0164476025	50	1	0	0	0	0
2024-09-01 21:57:40	29.810517167	50.0123498525	50	1	0	0	0	0
2024-09-01 21:57:50	29.800541183	50.00305455	50	1	0	0	0	0
2024-09-01 21:58:00	29.786917882999997	49.988349549999995	50	1	0	0	0	0
2024-09-01 21:58:10	29.771864714	49.98006845	50	1	0	0	0	0
2024-09-01 21:58:20	29.755323313999998	49.97847345	50	1	0	0	0	0
2024-09-01 21:58:30	29.751910386	49.977966838	50	1	0	0	0	0
2024-09-01 21:58:40	29.762161786	49.978593038	50	1	0	0	0	0
2024-09-01 21:58:50	29.756912942499998	49.976246898	50	1	0	0	0	0
2024-09-01 21:59:00	29.735531192499998	49.970807098	50	1	0	0	0	0
2024-09-01 21:59:10	29.7409030505	49.9755133605	50	1	0	0	0	0
2024-09-01 21:59:20	29.7741205005	49.9907798105	50	1	0	0	0	0
2024-09-01 21:59:30	29.7868332635	49.9990837035	50	1	0	0	0	0
2024-09-01 21:59:40	29.7782044135	50.0001408535	50	1	0	0	0	0
2024-09-01 21:59:50	29.7713522545	49.994154376000004	50	1	0	0	0	0
2024-09-01 22:00:00	29.7663493045	49.980836776000004	50	1	0	0	0	0
2024-09-01 22:00:10	29.750832546999998	49.967531524	50	1	0	0	0	0
2024-09-01 22:00:20	29.724372846999998	49.954239124	50	1	0	0	0	0
2024-09-01 22:00:30	29.7139672375	49.94976545	50	1	0	0	0	0
2024-09-01 22:00:40	29.7202709875	49.95447045	50	1	0	0	0	0
2024-09-01 22:00:50	29.730965995	49.96246825	50	1	0	0	0	0
2024-09-01 22:01:00	29.746231495	49.97389325	50	1	0	0	0	0
2024-09-01 22:01:10	29.7574861245	49.982464	50	1	0	0	0	0
2024-09-01 22:01:20	29.7645661745	49.988064	50	1	0	0	0	0
2024-09-01 22:01:30	29.7675330665	49.98755615	50	1	0	0	0	0
2024-09-01 22:01:40	29.7662189165	49.98069115	50	1	0	0	0	0
2024-09-01 22:01:50	29.7602018445	49.976204463	50	1	0	0	0	0
2024-09-01 22:02:00	29.7492898945	49.974193163	50	1	0	0	0	0
2024-09-01 22:02:10	29.7343152565	49.967852321	50	1	0	0	0	0
2024-09-01 22:02:20	29.7151121065	49.957005221	50	1	0	0	0	0
2024-09-01 22:02:30	29.7060357865	49.9512975105	50	1	0	0	0	0
2024-09-01 22:02:40	29.7074996365	49.9509389605	50	1	0	0	0	0
2024-09-01 22:02:50	29.703423669	49.941690463	50	1	0	0	0	0
2024-09-01 22:03:00	29.693581768999998	49.923189162999996	50	1	0	0	0	0
2024-09-01 22:03:10	29.6970541735	49.928902438	50	1	0	0	0	0
2024-09-01 22:03:20	29.7143843235	49.959818638	50	1	0	0	0	0
2024-09-01 22:03:30	29.736521153	49.9807784545	50	1	0	0	0	0
2024-09-01 22:03:40	29.763660853	49.9913755045	50	1	0	0	0	0
2024-09-01 22:03:50	29.768526182	49.991626719	50	1	0	0	0	0
2024-09-01 22:04:00	29.750207982	49.981109819000004	50	1	0	0	0	0
2024-09-01 22:04:10	29.743302666	49.9752237375	50	1	0	0	0	0
2024-09-01 22:04:20	29.748276066	49.9741574875	50	1	0	0	0	0
2024-09-01 22:04:30	29.7516602	49.9781379435	50	1	0	0	0	0
2024-09-01 22:04:40	29.7533902	49.9873710935	50	1	0	0	0	0
2024-09-01 22:04:50	29.75472624	49.9887884985	50	1	0	0	0	0
2024-09-01 22:05:00	29.75565224	49.9820711485	50	1	0	0	0	0
2024-09-01 22:05:10	29.7701150045	49.992331612499996	50	1	0	0	0	0
2024-09-01 22:05:20	29.798667054499997	50.0202628625	50	1	0	0	0	0
2024-09-01 22:05:30	29.816215125499998	50.033060389	50	1	0	0	0	0
2024-09-01 22:05:40	29.8223100755	50.030106489	50	1	0	0	0	0
2024-09-01 22:05:50	29.823153965	50.029706272999995	50	1	0	0	0	0
2024-09-01 22:06:00	29.818532465	50.031963972999996	50	1	0	0	0	0
2024-09-01 22:06:10	29.8195652955	50.027763277	50	1	0	0	0	0
2024-09-01 22:06:20	29.8264832455	50.016840577	50	1	0	0	0	0
2024-09-01 22:06:30	29.8156839715	50.009156532	50	1	0	0	0	0
2024-09-01 22:06:40	29.786444321500003	50.004843332	50	1	0	0	0	0
2024-09-01 22:06:50	29.776274803488374	50.00422914883721	50	1	0	0	0	0
2024-09-01 22:07:00	29.798859105813953	50.01177938139535	50	1	0	0	0	0
2024-09-01 22:07:10	29.8098902605	50.0187611	50	1	0	0	0	0
2024-09-01 22:07:20	29.8088967105	50.0251511	50	1	0	0	0	0
2024-09-01 22:07:30	29.811576911	50.0296974015	50	1	0	0	0	0
2024-09-01 22:07:40	29.818080810999998	50.0323247515	50	1	0	0	0	0
2024-09-01 22:07:50	29.814851939	50.026848653	50	1	0	0	0	0
2024-09-01 22:08:00	29.801493039	50.012938352999996	50	1	0	0	0	0
2024-09-01 22:08:10	29.78707275	50.002736495499995	50	1	0	0	0	0
2024-09-01 22:08:20	29.77154775	49.9963944455	50	1	0	0	0	0
2024-09-01 22:08:30	29.7781910605	50.001196686	50	1	0	0	0	0
2024-09-01 22:08:40	29.8079075105	50.017598086	50	1	0	0	0	0
2024-09-01 22:08:50	29.822777377	50.02639645	50	1	0	0	0	0
2024-09-01 22:09:00	29.822194677	50.027281450000004	50	1	0	0	0	0
2024-09-01 22:09:10	29.821973205	50.027162709500004	50	1	0	0	0	0
2024-09-01 22:09:20	29.822127705	50.025999259500004	50	1	0	0	0	0
2024-09-01 22:09:30	29.81981579	50.023678748	50	1	0	0	0	0
2024-09-01 22:09:40	29.814936789999997	50.020153948	50	1	0	0	0	0
2024-09-01 22:09:50	29.8184366675	50.0228799065	50	1	0	0	0	0
2024-09-01 22:10:00	29.8306574175	50.0321117565	50	1	0	0	0	0
2024-09-01 22:10:10	29.831762591	50.02493995	50	1	0	0	0	0
2024-09-01 22:10:20	29.821298491	50.000694949999996	50	1	0	0	0	0
2024-09-01 22:10:30	29.8122243495	49.9964088995	50	1	0	0	0	0
2024-09-01 22:10:40	29.8045968995	50.0128964495	50	1	0	0	0	0
2024-09-01 22:10:50	29.809390729	50.0266914005	50	1	0	0	0	0
2024-09-01 22:11:00	29.827112829	50.0376838505	50	1	0	0	0	0
2024-09-01 22:11:10	29.8416797455	50.0469982955	50	1	0	0	0	0
2024-09-01 22:11:20	29.852962695499997	50.054566245500006	50	1	0	0	0	0
2024-09-01 22:11:30	29.8649330175	50.059812845	50	1	0	0	0	0
2024-09-01 22:11:40	29.8776187675	50.062643345	50	1	0	0	0	0
2024-09-01 22:11:50	29.885108631	50.0652644925	50	1	0	0	0	0
2024-09-01 22:12:00	29.887190531	50.0676677425	50	1	0	0	0	0
2024-09-01 22:12:10	29.8836839565	50.061986703	50	1	0	0	0	0
2024-09-01 22:12:20	29.8743608065	50.047891403	50	1	0	0	0	0
2024-09-01 22:12:30	29.8632525865	50.040320551	50	1	0	0	0	0
2024-09-01 22:12:40	29.8502864365	50.039540451	50	1	0	0	0	0
2024-09-01 22:12:50	29.8383464935	50.029110585	50	1	0	0	0	0
2024-09-01 22:13:00	29.8274746435	50.008637085000004	50	1	0	0	0	0
2024-09-01 22:13:10	29.82482835	50.006634478	50	1	0	0	0	0
2024-09-01 22:13:20	29.830743350000002	50.023856678	50	1	0	0	0	0
2024-09-01 22:13:30	29.843249291	50.0375556555	50	1	0	0	0	0
2024-09-01 22:13:40	29.862615191	50.0475876055	50	1	0	0	0	0
2024-09-01 22:13:50	29.871203933	50.0528038845	50	1	0	0	0	0
2024-09-01 22:14:00	29.868575633	50.0530079345	50	1	0	0	0	0
2024-09-01 22:14:10	29.8736703945	50.055511138	50	1	0	0	0	0
2024-09-01 22:14:20	29.8868034445	50.060407338	50	1	0	0	0	0
2024-09-01 22:14:30	29.8886951105	50.058735872	50	1	0	0	0	0
2024-09-01 22:14:40	29.8788865605	50.050228672	50	1	0	0	0	0
2024-09-01 22:14:50	29.8666391825	50.044638049999996	50	1	0	0	0	0
2024-09-01 22:15:00	29.8518534325	50.042083049999995	50	1	0	0	0	0
2024-09-01 22:15:10	29.8428967715	50.035558168	50	1	0	0	0	0
2024-09-01 22:15:20	29.8400071215	50.024901368	50	1	0	0	0	0
2024-09-01 22:15:30	29.839995217	50.0204533335	50	1	0	0	0	0
2024-09-01 22:15:40	29.842978517	50.0224674835	50	1	0	0	0	0
2024-09-01 22:15:50	29.847313972	50.0269200205	50	1	0	0	0	0
