PROCESSDATA	2111LIC31102B Data	yyyy-MM-dd HH:mm:ss
8	10	2024-08-26 21:55:00	751
tagname	2111LIC31102B.MV	2111LIC31102B.PV	2111LIC31102B.SV	2111LIC31102B.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	C301中段_OP	C301中段_PV	C301中段_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=1.954744296500003	fsMin=0	fsGridNum=10	fdMax=1.954744296500003tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-08-26 22:16:00	62.69556622089552	47.3800843840796	47.98181	1	0	0	0	0
2024-08-26 22:16:10	62.83464875820896	47.336431498507466	47.98181	1	0	0	0	0
2024-08-26 22:16:20	62.696631691457284	47.410480310552764	47.98181	1	0	0	0	0
2024-08-26 22:16:30	62.33189676683417	47.580830511557785	47.98181	1	0	0	0	0
2024-08-26 22:16:40	61.94637754	47.801597287999996	47.98181	1	0	0	0	0
2024-08-26 22:16:50	61.54452779	48.061977088	47.98181	1	0	0	0	0
2024-08-26 22:17:00	61.075991336	48.285576340000006	47.98181	1	0	0	0	0
2024-08-26 22:17:10	60.555058186000004	48.48027659	47.98181	1	0	0	0	0
2024-08-26 22:17:20	60.247231132	48.598530764	47.98181	1	0	0	0	0
2024-08-26 22:17:30	60.106844582	48.656720164	47.98181	1	0	0	0	0
2024-08-26 22:17:40	60.28497164	48.5613306	47.98181	1	0	0	0	0
2024-08-26 22:17:50	60.71335939	48.345271849999996	47.98181	1	0	0	0	0
2024-08-26 22:18:00	61.1756368	48.084166419999995	47.98181	1	0	0	0	0
2024-08-26 22:18:10	61.6645418	47.78766717	47.98181	1	0	0	0	0
2024-08-26 22:18:20	62.2337214	47.5151054	47.98181	1	0	0	0	0
2024-08-26 22:18:30	62.8659739	47.26135165	47.98181	1	0	0	0	0
2024-08-26 22:18:40	63.074848592	47.208719828	47.98181	1	0	0	0	0
2024-08-26 22:18:50	62.951069292	47.314112378	47.98181	1	0	0	0	0
2024-08-26 22:19:00	62.5785376278607	47.50197901840796	47.98181	1	0	0	0	0
2024-08-26 22:19:10	62.01055767761194	47.75464672985075	47.98181	1	0	0	0	0
2024-08-26 22:19:20	61.49688494874371	48.0211698959799	47.98181	1	0	0	0	0
2024-08-26 22:19:30	61.027645401005024	48.29902934321608	47.98181	1	0	0	0	0
2024-08-26 22:19:40	60.582253928	48.5099418	47.98181	1	0	0	0	0
2024-08-26 22:19:50	60.155600228	48.66825305	47.98181	1	0	0	0	0
2024-08-26 22:20:00	60.005904971999996	48.6893384	47.98181	1	0	0	0	0
2024-08-26 22:20:10	60.073819922	48.6026034	47.98181	1	0	0	0	0
2024-08-26 22:20:20	60.4808338	48.3995788	47.98181	1	0	0	0	0
2024-08-26 22:20:30	61.15428255	48.1051838	47.98181	1	0	0	0	0
2024-08-26 22:20:40	61.7228076	47.8159212	47.98181	1	0	0	0	0
2024-08-26 22:20:50	62.2088926	47.5306912	47.98181	1	0	0	0	0
2024-08-26 22:21:00	62.611002212	47.34291982	47.98181	1	0	0	0	0
2024-08-26 22:21:10	62.947131162	47.23172307	47.98181	1	0	0	0	0
2024-08-26 22:21:20	62.955412088	47.280466016000005	47.98181	1	0	0	0	0
2024-08-26 22:21:30	62.706098138	47.454875866	47.98181	1	0	0	0	0
2024-08-26 22:21:40	62.23485	47.688868064	47.98181	1	0	0	0	0
2024-08-26 22:21:50	61.589225	47.969674964	47.98181	1	0	0	0	0
2024-08-26 22:22:00	61.095534271999995	48.216078544	47.98181	1	0	0	0	0
2024-08-26 22:22:10	60.721220472	48.435450944	47.98181	1	0	0	0	0
2024-08-26 22:22:20	60.445130784	48.562183244	47.98181	1	0	0	0	0
2024-08-26 22:22:30	60.246217183999995	48.616126894000004	47.98181	1	0	0	0	0
2024-08-26 22:22:40	60.268888388	48.556310912	47.98181	1	0	0	0	0
2024-08-26 22:22:50	60.465661938000004	48.407112362	47.98181	1	0	0	0	0
2024-08-26 22:23:00	60.910556508	48.187572016	47.98181	1	0	0	0	0
2024-08-26 22:23:10	61.550403308	47.912763116	47.98181	1	0	0	0	0
2024-08-26 22:23:20	62.078664116	47.647459403999996	47.98181	1	0	0	0	0
2024-08-26 22:23:30	62.519250215999996	47.389624053999995	47.98181	1	0	0	0	0
2024-08-26 22:23:40	62.742793139999996	47.291127968	47.98181	1	0	0	0	0
2024-08-26 22:23:50	62.79580214	47.317827018	47.98181	1	0	0	0	0
2024-08-26 22:24:00	62.643962691999995	47.4491437	47.98181	1	0	0	0	0
2024-08-26 22:24:10	62.331170891999996	47.66265995	47.98181	1	0	0	0	0
2024-08-26 22:24:20	61.8562426	47.89505192399999	47.98181	1	0	0	0	0
2024-08-26 22:24:30	61.25392135	48.142274824	47.98181	1	0	0	0	0
2024-08-26 22:24:40	60.813195884	48.351133159999996	47.98181	1	0	0	0	0
2024-08-26 22:24:50	60.499438534	48.52984791	47.98181	1	0	0	0	0
2024-08-26 22:25:00	60.324454616000004	48.606621744	47.98181	1	0	0	0	0
2024-08-26 22:25:10	60.258506966	48.603299144	47.98181	1	0	0	0	0
2024-08-26 22:25:20	60.424373584	48.479529448	47.98181	1	0	0	0	0
2024-08-26 22:25:30	60.772379984	48.261122748	47.98181	1	0	0	0	0
2024-08-26 22:25:40	61.158110532	48.023338312	47.98181	1	0	0	0	0
2024-08-26 22:25:50	61.573481482000005	47.770328512	47.98181	1	0	0	0	0
2024-08-26 22:26:00	62.080492428	47.540257824	47.98181	1	0	0	0	0
2024-08-26 22:26:10	62.659506228	47.328210724	47.98181	1	0	0	0	0
2024-08-26 22:26:20	62.808254388	47.30258124	47.98181	1	0	0	0	0
2024-08-26 22:26:30	62.618936688	47.42342274	47.98181	1	0	0	0	0
2024-08-26 22:26:40	62.345343636	47.598999004	47.98181	1	0	0	0	0
2024-08-26 22:26:50	62.005534236	47.817581154	47.98181	1	0	0	0	0
2024-08-26 22:27:00	61.546097832	48.041115104	47.98181	1	0	0	0	0
2024-08-26 22:27:10	60.992668782	48.268539754	47.98181	1	0	0	0	0
2024-08-26 22:27:20	60.74916	48.3686066	47.98181	1	0	0	0	0
2024-08-26 22:27:30	60.53689780379747	48.47030401772152	47.98181	1	0	0	0	0
2024-08-26 22:27:40	60.288653208	48.583480564	47.98181	1	0	0	0	0
2024-08-26 22:27:50	60.321866258	48.557281214	47.98181	1	0	0	0	0
2024-08-26 22:28:00	60.543565956	48.411645203999996	47.98181	1	0	0	0	0
2024-08-26 22:28:10	60.913362305999996	48.172166104	47.98181	1	0	0	0	0
2024-08-26 22:28:20	61.444411159999994	47.913614776	47.98181	1	0	0	0	0
2024-08-26 22:28:30	62.102158409999994	47.640078126	47.98181	1	0	0	0	0
2024-08-26 22:28:40	62.555870024	47.43776544	47.98181	1	0	0	0	0
2024-08-26 22:28:50	62.849267924	47.291414440000004	47.98181	1	0	0	0	0
2024-08-26 22:29:00	62.81774198	47.31578686	47.98181	1	0	0	0	0
2024-08-26 22:29:10	62.530918729999996	47.47429911	47.98181	1	0	0	0	0
2024-08-26 22:29:20	62.226642464	47.653899083999995	47.98181	1	0	0	0	0
2024-08-26 22:29:30	61.908653113999996	47.850067984	47.98181	1	0	0	0	0
2024-08-26 22:29:40	61.555989544	48.067122812	47.98181	1	0	0	0	0
2024-08-26 22:29:50	61.176081943999996	48.300588012	47.98181	1	0	0	0	0
2024-08-26 22:30:00	60.744574768	48.481840744	47.98181	1	0	0	0	0
2024-08-26 22:30:10	60.272525068	48.622069394	47.98181	1	0	0	0	0
2024-08-26 22:30:20	60.150976288	48.639229392000004	47.98181	1	0	0	0	0
2024-08-26 22:30:30	60.304821088000004	48.559692592000005	47.98181	1	0	0	0	0
2024-08-26 22:30:40	60.615706632000006	48.368625408	47.98181	1	0	0	0	0
2024-08-26 22:30:50	61.049981332	48.089927208	47.98181	1	0	0	0	0
2024-08-26 22:31:00	61.643903996	47.791567380000004	47.98181	1	0	0	0	0
2024-08-26 22:31:10	62.363264346	47.47775913	47.98181	1	0	0	0	0
2024-08-26 22:31:20	62.784133468	47.31010206	47.98181	1	0	0	0	0
2024-08-26 22:31:30	62.970473768	47.25727806	47.98181	1	0	0	0	0
