PROCESSDATA	2111LIC31102B Data	yyyy-MM-dd HH:mm:ss
8	10	2024-09-03 21:55:00	751
tagname	2111LIC31102B.MV	2111LIC31102B.PV	2111LIC31102B.SV	2111LIC31102B.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	C301中段_OP	C301中段_PV	C301中段_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=2.6962648481343265	fsMin=0	fsGridNum=10	fdMax=2.6962648481343265tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-09-03 21:55:00	59.445284	48.5524043875	47.98181	1	0	0	0	0
2024-09-03 21:55:10	59.396876	48.5125255375	47.98181	1	0	0	0	0
2024-09-03 21:55:20	59.433952500000004	48.43056185	47.98181	1	0	0	0	0
2024-09-03 21:55:30	59.7274825	48.22234365	47.98181	1	0	0	0	0
2024-09-03 21:55:40	60.091364999999996	48.008438500000004	47.98181	1	0	0	0	0
2024-09-03 21:55:50	60.666305	47.7774725	47.98181	1	0	0	0	0
2024-09-03 21:56:00	61.1856535125	47.564483599999996	47.98181	1	0	0	0	0
2024-09-03 21:56:10	61.5382275625	47.405426	47.98181	1	0	0	0	0
2024-09-03 21:56:20	61.762655275	47.3169712	47.98181	1	0	0	0	0
2024-09-03 21:56:30	61.602643975	47.4403248	47.98181	1	0	0	0	0
2024-09-03 21:56:40	61.3975173125	47.5902717875	47.98181	1	0	0	0	0
2024-09-03 21:56:50	61.0570445625	47.819998937499996	47.98181	1	0	0	0	0
2024-09-03 21:57:00	60.6649144	48.0445550125	47.98181	1	0	0	0	0
2024-09-03 21:57:10	60.117812	48.2535978625	47.98181	1	0	0	0	0
2024-09-03 21:57:20	59.6523033	48.4333508375	47.98181	1	0	0	0	0
2024-09-03 21:57:30	59.4315757	48.525234187500004	47.98181	1	0	0	0	0
2024-09-03 21:57:40	59.29929417910448	48.56879014527363	47.98181	1	0	0	0	0
2024-09-03 21:57:50	59.43235089552239	48.46736392636816	47.98181	1	0	0	0	0
2024-09-03 21:58:00	59.61840214328358	48.33460065671642	47.98181	1	0	0	0	0
2024-09-03 21:58:10	59.972269406965175	48.102603393034826	47.98181	1	0	0	0	0
2024-09-03 21:58:20	60.377855397512434	47.871562631840796	47.98181	1	0	0	0	0
2024-09-03 21:58:30	60.95658669104478	47.64372407462687	47.98181	1	0	0	0	0
2024-09-03 21:58:40	61.44428975572139	47.45930820895522	47.98181	1	0	0	0	0
2024-09-03 21:58:50	61.609256372636814	47.42884552238806	47.98181	1	0	0	0	0
2024-09-03 21:59:00	61.66936080597014	47.4405006238806	47.98181	1	0	0	0	0
2024-09-03 21:59:10	61.334983691542284	47.61059883283583	47.98181	1	0	0	0	0
2024-09-03 21:59:20	61.0025148	47.78627766	47.98181	1	0	0	0	0
2024-09-03 21:59:30	60.6776788	47.98427896	47.98181	1	0	0	0	0
2024-09-03 21:59:40	60.3349634	48.17397	47.98181	1	0	0	0	0
2024-09-03 21:59:50	59.9207304	48.33042	47.98181	1	0	0	0	0
2024-09-03 22:00:00	59.5799756	48.44755328	47.98181	1	0	0	0	0
2024-09-03 22:00:10	59.5331336	48.407419680000004	47.98181	1	0	0	0	0
2024-09-03 22:00:20	59.579155	48.33857116	47.98181	1	0	0	0	0
2024-09-03 22:00:30	59.99663	48.15486296	47.98181	1	0	0	0	0
2024-09-03 22:00:40	60.39399942	47.96648576	47.98181	1	0	0	0	0
2024-09-03 22:00:50	60.71094652	47.75943256	47.98181	1	0	0	0	0
2024-09-03 22:01:00	61.04033619	47.571267	47.98181	1	0	0	0	0
2024-09-03 22:01:10	61.41949614	47.458652	47.98181	1	0	0	0	0
2024-09-03 22:01:20	61.699295049999996	47.391735000000004	47.98181	1	0	0	0	0
2024-09-03 22:01:30	61.5816498	47.50761	47.98181	1	0	0	0	0
2024-09-03 22:01:40	61.4001858	47.637025	47.98181	1	0	0	0	0
2024-09-03 22:01:50	60.9634468	47.8206	47.98181	1	0	0	0	0
2024-09-03 22:02:00	60.543751040000004	48.010257	47.98181	1	0	0	0	0
2024-09-03 22:02:10	60.19222824	48.224242	47.98181	1	0	0	0	0
2024-09-03 22:02:20	59.841035559999995	48.418794999999996	47.98181	1	0	0	0	0
2024-09-03 22:02:30	59.491163359999994	48.53562	47.98181	1	0	0	0	0
2024-09-03 22:02:40	59.230858639999994	48.60552251	47.98181	1	0	0	0	0
2024-09-03 22:02:50	59.32882384	48.48773506	47.98181	1	0	0	0	0
2024-09-03 22:03:00	59.509805639999996	48.34720307	47.98181	1	0	0	0	0
2024-09-03 22:03:10	60.022853839999996	48.11569292	47.98181	1	0	0	0	0
2024-09-03 22:03:20	60.51439858	47.881996560000005	47.98181	1	0	0	0	0
2024-09-03 22:03:30	60.91992948	47.63955536	47.98181	1	0	0	0	0
2024-09-03 22:03:40	61.310237459999996	47.43026416	47.98181	1	0	0	0	0
2024-09-03 22:03:50	61.63965376	47.35357296	47.98181	1	0	0	0	0
2024-09-03 22:04:00	61.85658684	47.329074	47.98181	1	0	0	0	0
2024-09-03 22:04:10	61.62358704	47.513344000000004	47.98181	1	0	0	0	0
2024-09-03 22:04:20	61.325871279999994	47.709431620000004	47.98181	1	0	0	0	0
2024-09-03 22:04:30	60.769291679999995	47.95278972	47.98181	1	0	0	0	0
2024-09-03 22:04:40	60.243645459999996	48.18952958	47.98181	1	0	0	0	0
2024-09-03 22:04:50	59.84173276	48.39979648	47.98181	1	0	0	0	0
2024-09-03 22:05:00	59.4707729	48.58039349	47.98181	1	0	0	0	0
2024-09-03 22:05:10	59.2236244	48.64231094	47.98181	1	0	0	0	0
2024-09-03 22:05:20	59.079101550000004	48.65026841	47.98181	1	0	0	0	0
2024-09-03 22:05:30	59.345081300000004	48.44238596	47.98181	1	0	0	0	0
2024-09-03 22:05:40	59.68529201	48.222475	47.98181	1	0	0	0	0
2024-09-03 22:05:50	60.32242656	47.95445	47.98181	1	0	0	0	0
2024-09-03 22:06:00	60.91041599	47.69671242	47.98181	1	0	0	0	0
2024-09-03 22:06:10	61.301824939999996	47.48012452	47.98181	1	0	0	0	0
2024-09-03 22:06:20	61.62695289	47.316572529999995	47.98181	1	0	0	0	0
2024-09-03 22:06:30	61.68695684	47.36516418	47.98181	1	0	0	0	0
2024-09-03 22:06:40	61.668293	47.44688723	47.98181	1	0	0	0	0
2024-09-03 22:06:50	61.334958	47.661135879999996	47.98181	1	0	0	0	0
2024-09-03 22:07:00	60.956264239999996	47.88064032	47.98181	1	0	0	0	0
2024-09-03 22:07:10	60.39613544	48.12116792	47.98181	1	0	0	0	0
2024-09-03 22:07:20	59.8802437	48.348541	47.98181	1	0	0	0	0
2024-09-03 22:07:30	59.5413002	48.523296	47.98181	1	0	0	0	0
2024-09-03 22:07:40	59.27455138	48.648001550000004	47.98181	1	0	0	0	0
2024-09-03 22:07:50	59.29658128	48.5725093	47.98181	1	0	0	0	0
2024-09-03 22:08:00	59.38823321	48.46259995	47.98181	1	0	0	0	0
2024-09-03 22:08:10	59.758373260000006	48.2150222	47.98181	1	0	0	0	0
2024-09-03 22:08:20	60.18927801	47.963045369999996	47.98181	1	0	0	0	0
2024-09-03 22:08:30	60.863241560000006	47.69347222	47.98181	1	0	0	0	0
2024-09-03 22:08:40	61.45423016	47.457145669999996	47.98181	1	0	0	0	0
2024-09-03 22:08:50	61.71331896	47.353805519999995	47.98181	1	0	0	0	0
2024-09-03 22:09:00	61.861543389999994	47.306864059999995	47.98181	1	0	0	0	0
2024-09-03 22:09:10	61.566310339999994	47.485517359999996	47.98181	1	0	0	0	0
2024-09-03 22:09:20	61.3301239	47.62844	47.98181	1	0	0	0	0
2024-09-03 22:09:30	61.3301239	47.62844	47.98181	1	0	0	0	0
2024-09-03 22:09:40	60.441011079999996	48.14635475	47.98181	1	0	0	0	0
2024-09-03 22:09:50	59.93003998	48.3468785	47.98181	1	0	0	0	0
2024-09-03 22:10:00	59.48765028	48.51337622	47.98181	1	0	0	0	0
2024-09-03 22:10:10	59.31958618	48.54376982	47.98181	1	0	0	0	0
2024-09-03 22:10:20	59.24012741	48.54082068	47.98181	1	0	0	0	0
2024-09-03 22:10:30	59.51508996	48.404500580000004	47.98181	1	0	0	0	0
2024-09-03 22:10:40	59.81891751	48.242140590000005	47.98181	1	0	0	0	0
2024-09-03 22:10:50	60.23820506	47.97562104	47.98181	1	0	0	0	0
2024-09-03 22:11:00	60.691959	47.718434529999996	47.98181	1	0	0	0	0
2024-09-03 22:11:10	61.2835785	47.49858018	47.98181	1	0	0	0	0
2024-09-03 22:11:20	61.75719469	47.33493043	47.98181	1	0	0	0	0
2024-09-03 22:11:30	61.75719469	47.33493043	47.98181	1	0	0	0	0
2024-09-03 22:11:40	61.67586353	47.48384588	47.98181	1	0	0	0	0
2024-09-03 22:11:50	61.25478118	47.67790528	47.98181	1	0	0	0	0
2024-09-03 22:12:00	60.84679677	47.8762398	47.98181	1	0	0	0	0
2024-09-03 22:12:10	60.84679677	47.8762398	47.98181	1	0	0	0	0
2024-09-03 22:12:20	60.120574	48.29439552	47.98181	1	0	0	0	0
2024-09-03 22:12:30	59.689794	48.44625912	47.98181	1	0	0	0	0
2024-09-03 22:12:40	59.342930300000006	48.559543729999994	47.98181	1	0	0	0	0
2024-09-03 22:12:50	59.3317318	48.51851238	47.98181	1	0	0	0	0
2024-09-03 22:13:00	59.41163904	48.44350628	47.98181	1	0	0	0	0
2024-09-03 22:13:10	59.85596924	48.23260118	47.98181	1	0	0	0	0
2024-09-03 22:13:20	60.28579482	48.01679801	47.98181	1	0	0	0	0
2024-09-03 22:13:30	60.65760192	47.781402560000004	47.98181	1	0	0	0	0
2024-09-03 22:13:40	61.03806084	47.566345940000005	47.98181	1	0	0	0	0
2024-09-03 22:13:50	61.45312704	47.43264464	47.98181	1	0	0	0	0
2024-09-03 22:14:00	61.757430279999994	47.351691439999996	47.98181	1	0	0	0	0
2024-09-03 22:14:10	61.618681679999995	47.48173064	47.98181	1	0	0	0	0
2024-09-03 22:14:20	61.40450952	47.63053243	47.98181	1	0	0	0	0
2024-09-03 22:14:30	60.88864312	47.85438458	47.98181	1	0	0	0	0
2024-09-03 22:14:40	60.404788999999994	48.07691767	47.98181	1	0	0	0	0
2024-09-03 22:14:50	60.048984	48.29417452	47.98181	1	0	0	0	0
2024-09-03 22:15:00	59.717816279999994	48.47866834	47.98181	1	0	0	0	0
2024-09-03 22:15:10	59.48519768	48.53211004	47.98181	1	0	0	0	0
2024-09-03 22:15:20	59.32815952	48.5454456	47.98181	1	0	0	0	0
2024-09-03 22:15:30	59.47344312	48.3983566	47.98181	1	0	0	0	0
2024-09-03 22:15:40	59.69695132	48.23631486	47.98181	1	0	0	0	0
2024-09-03 22:15:50	60.233357919999996	48.01446216	47.98181	1	0	0	0	0
2024-09-03 22:16:00	60.739424879999994	47.793965	47.98181	1	0	0	0	0
2024-09-03 22:16:10	61.124133279999995	47.57889	47.98181	1	0	0	0	0
2024-09-03 22:16:20	61.45278852	47.41031547	47.98181	1	0	0	0	0
2024-09-03 22:16:30	61.557231120000004	47.42774282	47.98181	1	0	0	0	0
2024-09-03 22:16:40	61.58886641	47.477666830000004	47.98181	1	0	0	0	0
2024-09-03 22:16:50	61.32927246	47.65757748	47.98181	1	0	0	0	0
2024-09-03 22:17:00	61.020168309999995	47.845273170000006	47.98181	1	0	0	0	0
2024-09-03 22:17:10	60.51302336	48.064109020000004	47.98181	1	0	0	0	0
2024-09-03 22:17:20	60.04244611	48.27234916	47.98181	1	0	0	0	0
2024-09-03 22:17:30	59.71813966	48.438206459999996	47.98181	1	0	0	0	0
2024-09-03 22:17:40	59.43990705	48.569793669999996	47.98181	1	0	0	0	0
2024-09-03 22:17:50	59.3459698	48.564300519999996	47.98181	1	0	0	0	0
2024-09-03 22:18:00	59.32093374	48.5211134	47.98181	1	0	0	0	0
2024-09-03 22:18:10	59.571502439999996	48.3271504	47.98181	1	0	0	0	0
2024-09-03 22:18:20	59.89047318	48.122696	47.98181	1	0	0	0	0
2024-09-03 22:18:30	60.48305208	47.876276	47.98181	1	0	0	0	0
2024-09-03 22:18:40	61.032685879999995	47.645205999999995	47.98181	1	0	0	0	0
2024-09-03 22:18:50	61.41053928	47.475536	47.98181	1	0	0	0	0
2024-09-03 22:19:00	61.6906155	47.35675765	47.98181	1	0	0	0	0
2024-09-03 22:19:10	61.579583	47.4415459	47.98181	1	0	0	0	0
2024-09-03 22:19:20	61.42751657	47.55285885	47.98181	1	0	0	0	0
2024-09-03 22:19:30	61.11131442	47.7702706	47.98181	1	0	0	0	0
2024-09-03 22:19:40	60.7563351	47.98653232	47.98181	1	0	0	0	0
2024-09-03 22:19:50	60.2462471	48.19819392	47.98181	1	0	0	0	0
2024-09-03 22:20:00	59.79526822	48.38619088	47.98181	1	0	0	0	0
2024-09-03 22:20:10	59.58072582	48.47952928	47.98181	1	0	0	0	0
2024-09-03 22:20:20	59.42500835	48.538886000000005	47.98181	1	0	0	0	0
2024-09-03 22:20:30	59.5045906	48.462316	47.98181	1	0	0	0	0
2024-09-03 22:20:40	59.62940599	48.3582345	47.98181	1	0	0	0	0
2024-09-03 22:20:50	59.93515394	48.144107	47.98181	1	0	0	0	0
2024-09-03 22:21:00	60.295238069999996	47.92633398	47.98181	1	0	0	0	0
2024-09-03 22:21:10	60.87266692	47.69397888	47.98181	1	0	0	0	0
2024-09-03 22:21:20	61.38733369	47.485266890000005	47.98181	1	0	0	0	0
2024-09-03 22:21:30	61.65095214	47.37112734	47.98181	1	0	0	0	0
2024-09-03 22:21:40	61.80851221	47.31335513	47.98181	1	0	0	0	0
2024-09-03 22:21:50	61.54183876	47.48105228	47.98181	1	0	0	0	0
2024-09-03 22:22:00	61.26933546	47.653133	47.98181	1	0	0	0	0
2024-09-03 22:22:10	60.97351276	47.842748	47.98181	1	0	0	0	0
2024-09-03 22:22:20	60.63134714	48.03759167	47.98181	1	0	0	0	0
2024-09-03 22:22:30	60.103809840000004	48.25335002	47.98181	1	0	0	0	0
2024-09-03 22:22:40	59.641497	48.44471203	47.98181	1	0	0	0	0
2024-09-03 22:22:50	59.440082000000004	48.53848868	47.98181	1	0	0	0	0
2024-09-03 22:23:00	59.321995	48.584457279999995	47.98181	1	0	0	0	0
2024-09-03 22:23:10	59.537220000000005	48.439193679999995	47.98181	1	0	0	0	0
2024-09-03 22:23:20	59.775518000000005	48.27843852	47.98181	1	0	0	0	0
2024-09-03 22:23:30	60.106108	48.055717120000004	47.98181	1	0	0	0	0
2024-09-03 22:23:40	60.489309	47.830045000000005	47.98181	1	0	0	0	0
2024-09-03 22:23:50	61.082954	47.59257	47.98181	1	0	0	0	0
2024-09-03 22:24:00	61.58823069	47.397124	47.98181	1	0	0	0	0
2024-09-03 22:24:10	61.74003414	47.369794	47.98181	1	0	0	0	0
2024-09-03 22:24:20	61.79115257	47.3850017	47.98181	1	0	0	0	0
2024-09-03 22:24:30	61.43953092	47.570360199999996	47.98181	1	0	0	0	0
2024-09-03 22:24:40	61.09518924	47.75861053	47.98181	1	0	0	0	0
2024-09-03 22:24:50	60.77996744	47.95842818	47.98181	1	0	0	0	0
2024-09-03 22:25:00	60.428494580000006	48.15668607	47.98181	1	0	0	0	0
2024-09-03 22:25:10	59.932017480000006	48.348704919999996	47.98181	1	0	0	0	0
2024-09-03 22:25:20	59.503751740000006	48.50873168	47.98181	1	0	0	0	0
2024-09-03 22:25:30	59.34833144	48.54079008	47.98181	1	0	0	0	0
2024-09-03 22:25:40	59.293725679999994	48.53017352	47.98181	1	0	0	0	0
2024-09-03 22:25:50	59.64237808	48.34885712	47.98181	1	0	0	0	0
2024-09-03 22:26:00	60.0015	48.15344733	47.98181	1	0	0	0	0
2024-09-03 22:26:10	60.4025	47.901663979999995	47.98181	1	0	0	0	0
2024-09-03 22:26:20	60.83788673	47.65736457	47.98181	1	0	0	0	0
2024-09-03 22:26:30	61.410820380000004	47.443000919999996	47.98181	1	0	0	0	0
2024-09-03 22:26:40	61.86810186	47.283319	47.98181	1	0	0	0	0
