PROCESSDATA	2111FIC40102C Data	yyyy-MM-dd HH:mm:ss
8	10	2024-09-04 21:55:00	751
tagname	2111FIC40102C.MV	2111FIC40102C.PV	2111FIC40102C.SV	2111FIC40102C.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	常底油进F401三路支管_OP	常底油进F401三路支管_PV	常底油进F401三路支管_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=1.6146241691836742	fsMin=0	fsGridNum=10	fdMax=1.6146241691836742tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-09-04 22:05:00	42.71102179	101.06336470000001	100.7141633	1	0	0	0	0
2024-09-04 22:05:10	42.48649596	100.58553789999999	99.8564758	1	0	0	0	0
2024-09-04 22:05:20	42.46686247	100.7414033	100.188156	1	0	0	0	0
2024-09-04 22:05:30	42.81361357	100.6184711	101.4589734	1	0	0	0	0
2024-09-04 22:05:40	42.98233028	100.8254427	101.8330404	1	0	0	0	0
2024-09-04 22:05:50	42.67344822	102.1471226	101.522766	1	0	0	0	0
2024-09-04 22:06:00	42.80126262	100.731514	100.992119	1	0	0	0	0
2024-09-04 22:06:10	42.547534250000005	100.9878571	100.3167262	1	0	0	0	0
2024-09-04 22:06:20	42.62852003	100.6405876	100.465926	1	0	0	0	0
2024-09-04 22:06:30	43.029458580000004	100.76873810000001	102.0252	1	0	0	0	0
2024-09-04 22:06:40	43.36073595	100.966478	102.781105	1	0	0	0	0
2024-09-04 22:06:50	42.984355550000004	102.79121190000001	102.75385829999999	1	0	0	0	0
2024-09-04 22:07:00	43.09643725	102.613087	102.9612161	1	0	0	0	0
2024-09-04 22:07:10	42.90455857	102.8015511	102.505089	1	0	0	0	0
2024-09-04 22:07:20	43.046039220000004	101.73992439999999	102.12915	1	0	0	0	0
2024-09-04 22:07:30	43.04229698	101.9079967	101.980065	1	0	0	0	0
2024-09-04 22:07:40	42.820226680000005	102.1756639	101.4987735	1	0	0	0	0
2024-09-04 22:07:50	42.86243634	101.9551788	101.724434	1	0	0	0	0
2024-09-04 22:08:00	42.93134498	101.5039757	101.76178	1	0	0	0	0
2024-09-04 22:08:10	42.762068219999996	101.2283843	101.02591509999999	1	0	0	0	0
