PROCESSDATA	RHT.7050-342_FIC10112 Data	yyyy-MM-dd HH:mm:ss
8	10	2024-06-29 21:54:50	751
tagname	LYCDU.RHT.7050-342_FIC10112.MV	LYCDU.RHT.7050-342_FIC10112.PV	LYCDU.RHT.7050-342_FIC10112.SV	LYCDU.RHT.7050-342_FIC10112.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	开工蜡油自工厂罐区来流量控制_OP	开工蜡油自工厂罐区来流量控制_PV	开工蜡油自工厂罐区来流量控制_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=4.3928235	fsMin=0	fsGridNum=10	fdMax=4.3928235tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-06-29 21:54:50	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 21:55:10	1.231383	3.503246E-44	0.001481703	1	0	0	0	0
2024-06-29 21:55:20	1.231383	3.503246E-44	0.001481703	1	0	0	0	0
2024-06-29 21:55:30	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 21:55:40	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 21:55:50	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 21:56:00	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 21:56:10	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 21:56:20	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 21:56:30	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 21:56:40	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 21:56:50	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 21:57:00	1.231383	3.503246E-44	0.004053772	1	0	0	0	0
2024-06-29 21:57:10	1.231383	3.503246E-44	0.003279814	1	0	0	0	0
2024-06-29 21:57:20	1.231383	3.503246E-44	0.001093271	1	0	0	0	0
2024-06-29 21:57:30	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 21:57:40	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 21:57:50	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 21:58:00	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 21:58:10	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 21:58:20	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 21:58:30	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 21:58:40	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 21:58:50	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 21:59:00	1.231383	3.503246E-44	0.001479006	1	0	0	0	0
2024-06-29 21:59:10	1.231383	3.503246E-44	0.001479006	1	0	0	0	0
2024-06-29 21:59:20	1.231383	3.503246E-44	0.004437018	1	0	0	0	0
2024-06-29 21:59:30	1.231383	3.503246E-44	0.00217255	1	0	0	0	0
2024-06-29 21:59:40	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 21:59:50	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 21:59:50	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:00:10	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:00:20	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:00:30	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:00:40	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:00:50	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:01:00	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:01:10	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:01:20	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:01:30	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:01:40	1.231383	3.503246E-44	0.0002649761	1	0	0	0	0
2024-06-29 22:01:50	1.231383	3.503246E-44	0.0002649761	1	0	0	0	0
2024-06-29 22:02:00	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:02:10	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:02:20	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:02:30	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:02:40	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:02:50	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:03:00	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:03:10	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:03:20	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:03:30	1.231383	3.503246E-44	0.003329272	1	0	0	0	0
2024-06-29 22:03:40	1.231383	3.503246E-44	0.009987814	1	0	0	0	0
2024-06-29 22:03:50	1.231383	3.503246E-44	0.003329271	1	0	0	0	0
2024-06-29 22:04:00	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:04:10	1.231383	3.503246E-44	0	1	0	0	0	0
2024-06-29 22:04:20	1.231383	3.503246E-44	0	1	0	0	0	0
