PROCESSDATA	2411FIC20102 Data	yyyy-MM-dd HH:mm:ss
8	10	2024-10-23 21:55:00	751
tagname	2411FIC20102.MV	2411FIC20102.PV	2411FIC20102.SV	2411FIC20102.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	回炼油返塔_OP	回炼油返塔_PV	回炼油返塔_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=1.434889663571429	fsMin=0	fsGridNum=10	fdMax=1.434889663571429tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-10-23 21:55:00	25.20753227	101.98858030000001	102	1	0	0	0	0
2024-10-23 21:55:10	25.195274372881357	102.07993376271186	102	1	0	0	0	0
2024-10-23 21:55:20	25.19125558	102.1172747	102	1	0	0	0	0
2024-10-23 21:55:30	25.178701849275363	102.18647043478262	102	1	0	0	0	0
2024-10-23 21:55:40	25.156307735211268	102.2139989859155	102	1	0	0	0	0
2024-10-23 21:55:50	25.133597837288136	102.23900928813559	102	1	0	0	0	0
2024-10-23 21:56:00	25.161588823076922	102.2190546923077	102	1	0	0	0	0
2024-10-23 21:56:10	25.10588483137255	102.36412352941177	102	1	0	0	0	0
2024-10-23 21:56:20	25.12302142881356	102.4349723898305	102	1	0	0	0	0
2024-10-23 21:56:30	25.11279074	102.08906178571428	102	1	0	0	0	0
2024-10-23 21:56:40	25.161938255714286	101.87902305714286	102	1	0	0	0	0
2024-10-23 21:56:50	25.19523165	101.67862861764706	102	1	0	0	0	0
2024-10-23 21:57:00	25.129808083333334	102.1369766	102	1	0	0	0	0
2024-10-23 21:57:10	25.124969098	102.06402152	102	1	0	0	0	0
2024-10-23 21:57:20	25.1347036	102.0860893	102	1	0	0	0	0
2024-10-23 21:57:30	25.157278308333332	102.00803176666666	102	1	0	0	0	0
2024-10-23 21:57:40	25.067174346067414	102.30342082022472	102	1	0	0	0	0
2024-10-23 21:57:50	25.09256988	102.25568384	102	1	0	0	0	0
