PROCESSDATA	2411FIC20102 Data	yyyy-MM-dd HH:mm:ss
8	10	2024-12-06 21:55:00	751
tagname	2411FIC20102.MV	2411FIC20102.PV	2411FIC20102.SV	2411FIC20102.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	回炼油返塔_OP	回炼油返塔_PV	回炼油返塔_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=1.552671409317071	fsMin=0	fsGridNum=10	fdMax=1.552671409317071tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-12-06 21:55:00	24.135677164	95.1031696	95.0000153	1	0	0	0	0
2024-12-06 21:55:10	24.115907776	95.15655752800001	95.0000153	1	0	0	0	0
2024-12-06 21:55:20	24.05476894	95.486514	95.0000153	1	0	0	0	0
2024-12-06 21:55:30	24.061339416	95.4017844	95.0000153	1	0	0	0	0
2024-12-06 21:55:40	24.086706892	95.1590416	95.0000153	1	0	0	0	0
2024-12-06 21:55:50	24.011303692	95.616894	95.0000153	1	0	0	0	0
2024-12-06 21:56:00	24.08080616	95.140278776	95.0000153	1	0	0	0	0
2024-12-06 21:56:10	24.056347623999997	95.2272636	95.0000153	1	0	0	0	0
2024-12-06 21:56:20	24.036558336000002	95.31497035599999	95.0000153	1	0	0	0	0
2024-12-06 21:56:30	24.040134939999998	95.229598228	95.0000153	1	0	0	0	0
2024-12-06 21:56:40	23.940857912000002	95.8254676	95.0000153	1	0	0	0	0
2024-12-06 21:56:50	23.990169031999997	95.4196824	95.0000153	1	0	0	0	0
2024-12-06 21:57:00	23.990840476	95.32101952000001	95.0000153	1	0	0	0	0
2024-12-06 21:57:10	24.019762147999998	95.13517666	95.0000153	1	0	0	0	0
2024-12-06 21:57:20	23.98769248	95.313931956	95.0000153	1	0	0	0	0
2024-12-06 21:57:30	23.998853644	95.1399764	95.0000153	1	0	0	0	0
2024-12-06 21:57:40	23.985302219999998	95.16359519999999	95.0000153	1	0	0	0	0
2024-12-06 21:57:50	23.944944504	95.3575568	95.0000153	1	0	0	0	0
2024-12-06 21:58:00	23.991741119999997	94.97064119999999	95.0000153	1	0	0	0	0
2024-12-06 21:58:10	23.950994496	95.2130896	95.0000153	1	0	0	0	0
2024-12-06 21:58:20	23.916955932	95.382592464	95.0000153	1	0	0	0	0
2024-12-06 21:58:30	23.926206876000002	95.2709972	95.0000153	1	0	0	0	0
2024-12-06 21:58:40	23.95609048	95.04057399999999	95.0000153	1	0	0	0	0
2024-12-06 21:58:50	23.931397295999997	95.1751176	95.0000153	1	0	0	0	0
2024-12-06 21:59:00	23.947514408	95.01558399999999	95.0000153	1	0	0	0	0
2024-12-06 21:59:10	23.854197199999998	95.5068464	95.0000153	1	0	0	0	0
2024-12-06 21:59:20	23.841155928	95.52928759999999	95.0000153	1	0	0	0	0
2024-12-06 21:59:30	23.859754896	95.3218964	95.0000153	1	0	0	0	0
2024-12-06 21:59:40	23.845834401960783	95.33984217647058	95.0000153	1	0	0	0	0
2024-12-06 21:59:50	23.852556608	95.253344456	95.0000153	1	0	0	0	0
2024-12-06 22:00:00	23.899609256	94.914920844	95.0000153	1	0	0	0	0
2024-12-06 22:00:10	23.822336088	95.348408188	95.0000153	1	0	0	0	0
2024-12-06 22:00:20	23.822162304000003	95.292732472	95.0000153	1	0	0	0	0
2024-12-06 22:00:30	23.856606712	95.0116124	95.0000153	1	0	0	0	0
2024-12-06 22:00:40	23.787980908	95.3848108	95.0000153	1	0	0	0	0
2024-12-06 22:00:50	23.75776738	95.4378344	95.0000153	1	0	0	0	0
2024-12-06 22:01:00	23.7635358	95.37471079999999	95.0000153	1	0	0	0	0
2024-12-06 22:01:10	23.782923148	95.14353	95.0000153	1	0	0	0	0
2024-12-06 22:01:20	23.759673556	95.256742	95.0000153	1	0	0	0	0
2024-12-06 22:01:30	23.7449459	95.3228608	95.0000153	1	0	0	0	0
2024-12-06 22:01:40	23.664478284	95.722905372	95.0000153	1	0	0	0	0
2024-12-06 22:01:50	23.732467015999998	95.22430680000001	95.0000153	1	0	0	0	0
2024-12-06 22:02:00	23.733062852	95.18593	95.0000153	1	0	0	0	0
2024-12-06 22:02:10	23.700027128000002	95.305338076	95.0000153	1	0	0	0	0
2024-12-06 22:02:20	23.671986948	95.4244712	95.0000153	1	0	0	0	0
2024-12-06 22:02:30	23.652138224	95.434212824	95.0000153	1	0	0	0	0
2024-12-06 22:02:40	23.703368578431373	95.02671000000001	95.0000153	1	0	0	0	0
2024-12-06 22:02:50	23.647625748	95.32369080000001	95.0000153	1	0	0	0	0
2024-12-06 22:03:00	23.665550312	95.13749680000001	95.0000153	1	0	0	0	0
2024-12-06 22:03:10	23.632370068	95.3210608	95.0000153	1	0	0	0	0
2024-12-06 22:03:20	23.645646399999997	95.178339152	95.0000153	1	0	0	0	0
2024-12-06 22:03:30	23.59914088	95.40419196799999	95.0000153	1	0	0	0	0
2024-12-06 22:03:40	23.587280324	95.398397216	95.0000153	1	0	0	0	0
2024-12-06 22:03:50	23.5604257	95.492477864	95.0000153	1	0	0	0	0
2024-12-06 22:04:00	23.584092364	95.2509744	95.0000153	1	0	0	0	0
2024-12-06 22:04:10	23.516731103999998	95.58404592800001	95.0000153	1	0	0	0	0
2024-12-06 22:04:20	23.470717664	95.792496692	95.0000153	1	0	0	0	0
2024-12-06 22:04:30	23.474443184	95.6708936	95.0000153	1	0	0	0	0
2024-12-06 22:04:40	23.544373344	95.174447736	95.0000153	1	0	0	0	0
2024-12-06 22:04:50	23.494482332	95.3968328	95.0000153	1	0	0	0	0
2024-12-06 22:05:00	23.434643564	95.71500755999999	95.0000153	1	0	0	0	0
2024-12-06 22:05:10	23.459239092	95.435407152	95.0000153	1	0	0	0	0
2024-12-06 22:05:20	23.40341256	95.7209644	95.0000153	1	0	0	0	0
2024-12-06 22:05:30	23.416305892	95.566835992	95.0000153	1	0	0	0	0
2024-12-06 22:05:40	23.44084781176471	95.32807294117647	95.0000153	1	0	0	0	0
2024-12-06 22:05:50	23.43070635	95.33682	95.0000153	1	0	0	0	0
2024-12-06 22:06:00	23.378940240000002	95.58713648	95.0000153	1	0	0	0	0
2024-12-06 22:06:10	23.382132304	95.48770688	95.0000153	1	0	0	0	0
2024-12-06 22:06:20	23.373497735999997	95.4366892	95.0000153	1	0	0	0	0
2024-12-06 22:06:30	23.3406256	95.58574247199999	95.0000153	1	0	0	0	0
2024-12-06 22:06:40	23.3426218	95.51436559999999	95.0000153	1	0	0	0	0
2024-12-06 22:06:50	23.280850288	95.796807512	95.0000153	1	0	0	0	0
2024-12-06 22:07:00	23.303268151999998	95.49279080000001	95.0000153	1	0	0	0	0
2024-12-06 22:07:10	23.328625080000002	95.2743524	95.0000153	1	0	0	0	0
2024-12-06 22:07:20	23.31340876	95.34389399999999	95.0000153	1	0	0	0	0
2024-12-06 22:07:30	23.296012808	95.361701944	95.0000153	1	0	0	0	0
2024-12-06 22:07:40	23.25919548627451	95.52493705882354	95.0000153	1	0	0	0	0
2024-12-06 22:07:50	23.25729668	95.460196844	95.0000153	1	0	0	0	0
2024-12-06 22:08:00	23.266816592	95.298553	95.0000153	1	0	0	0	0
2024-12-06 22:08:10	23.2073668	95.5383464	95.0000153	1	0	0	0	0
2024-12-06 22:08:20	23.25535068	95.19925640000001	95.0000153	1	0	0	0	0
2024-12-06 22:08:30	23.186131932	95.548766292	95.0000153	1	0	0	0	0
2024-12-06 22:08:40	23.254382579999998	95.0482012	95.0000153	1	0	0	0	0
2024-12-06 22:08:50	23.190633008000002	95.4221328	95.0000153	1	0	0	0	0
2024-12-06 22:09:00	23.171356268	95.5050252	95.0000153	1	0	0	0	0
2024-12-06 22:09:10	23.165253864	95.450148	95.0000153	1	0	0	0	0
2024-12-06 22:09:20	23.161353196	95.4290092	95.0000153	1	0	0	0	0
2024-12-06 22:09:30	23.144704736	95.437953308	95.0000153	1	0	0	0	0
2024-12-06 22:09:40	23.17805138	95.195151288	95.0000153	1	0	0	0	0
2024-12-06 22:09:50	23.154274936	95.3014412	95.0000153	1	0	0	0	0
2024-12-06 22:10:00	23.227503708	94.7929952	95.0000153	1	0	0	0	0
2024-12-06 22:10:10	23.151529948	95.292174	95.0000153	1	0	0	0	0
2024-12-06 22:10:20	23.143154564	95.28356360000001	95.0000153	1	0	0	0	0
2024-12-06 22:10:30	23.170165192	95.0724792	95.0000153	1	0	0	0	0
2024-12-06 22:10:40	23.163779632	95.0515948	95.0000153	1	0	0	0	0
2024-12-06 22:10:50	23.168092656	95.00584808800001	95.0000153	1	0	0	0	0
2024-12-06 22:11:00	23.087201672	95.4861488	95.0000153	1	0	0	0	0
2024-12-06 22:11:10	23.110989	95.279412804	95.0000153	1	0	0	0	0
2024-12-06 22:11:20	23.172887919999997	94.823952	95.0000153	1	0	0	0	0
2024-12-06 22:11:30	23.153966183999998	94.9631172	95.0000153	1	0	0	0	0
2024-12-06 22:11:40	23.1313361	95.0829232	95.0000153	1	0	0	0	0
2024-12-06 22:11:50	23.168705456	94.782852	95.0000153	1	0	0	0	0
2024-12-06 22:12:00	23.178412427999998	94.77609480000001	95.0000153	1	0	0	0	0
2024-12-06 22:12:10	23.149881656	94.9365432	95.0000153	1	0	0	0	0
2024-12-06 22:12:20	23.130634168	95.0378388	95.0000153	1	0	0	0	0
2024-12-06 22:12:30	23.118748696	95.107128	95.0000153	1	0	0	0	0
2024-12-06 22:12:40	23.10460142	95.17481386	95.0000153	1	0	0	0	0
2024-12-06 22:12:50	23.135366708	94.970471208	95.0000153	1	0	0	0	0
2024-12-06 22:13:00	23.142997960000002	94.9508832	95.0000153	1	0	0	0	0
2024-12-06 22:13:10	23.134084696	95.0063692	95.0000153	1	0	0	0	0
2024-12-06 22:13:20	23.226204252	94.456558	95.0000153	1	0	0	0	0
2024-12-06 22:13:30	23.148344976	94.9830288	95.0000153	1	0	0	0	0
2024-12-06 22:13:40	23.19463328	94.6802416	95.0000153	1	0	0	0	0
2024-12-06 22:13:50	23.053186148	95.574348	95.0000153	1	0	0	0	0
2024-12-06 22:14:00	23.1816848	94.7158616	95.0000153	1	0	0	0	0
2024-12-06 22:14:10	23.108936952	95.228156	95.0000153	1	0	0	0	0
2024-12-06 22:14:20	23.168564632000002	94.841022336	95.0000153	1	0	0	0	0
2024-12-06 22:14:30	23.148080256	95.0237396	95.0000153	1	0	0	0	0
2024-12-06 22:14:40	23.186351600000002	94.7721936	95.0000153	1	0	0	0	0
2024-12-06 22:14:50	23.245848008	94.4838952	95.0000153	1	0	0	0	0
2024-12-06 22:15:00	23.235567936	94.607971648	95.0000153	1	0	0	0	0
2024-12-06 22:15:10	23.16209432	95.08545029199999	95.0000153	1	0	0	0	0
2024-12-06 22:15:20	23.13951406	95.223562508	95.0000153	1	0	0	0	0
2024-12-06 22:15:30	23.165054568	95.022026908	95.0000153	1	0	0	0	0
2024-12-06 22:15:40	23.120469212000003	95.28793488000001	95.0000153	1	0	0	0	0
2024-12-06 22:15:50	23.102644084	95.3778648	95.0000153	1	0	0	0	0
2024-12-06 22:16:00	23.165358156	94.99266639999999	95.0000153	1	0	0	0	0
2024-12-06 22:16:10	23.181253416	94.9166436	95.0000153	1	0	0	0	0
2024-12-06 22:16:20	23.1658548	95.00638683199999	95.0000153	1	0	0	0	0
2024-12-06 22:16:30	23.149093904	95.0778064	95.0000153	1	0	0	0	0
